time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.539E-6
65.57E-12,2.493E-6
118.9E-12,2.428E-6
225.4E-12,2.079E-6
438.5E-12,-26.42E-6
733.9E-12,-130.7E-6
1.000E-9,-241.7E-6
1.046E-9,-242.1E-6
1.122E-9,-241.9E-6
1.189E-9,-241.8E-6
1.321E-9,-241.5E-6
1.586E-9,-240.8E-6
2.116E-9,-239.4E-6
3.177E-9,-234.3E-6
4.074E-9,-220.0E-6
4.904E-9,-178.6E-6
5.815E-9,-116.5E-6
6.652E-9,-67.07E-6
7.572E-9,-32.85E-6
8.571E-9,-13.31E-6
9.286E-9,-7.409E-6
10.00E-9,-3.542E-6
10.05E-9,-4.734E-6
10.14E-9,-4.251E-6
10.26E-9,-3.200E-6
10.49E-9,42.54E-6
10.77E-9,184.8E-6
11.00E-9,329.7E-6
11.04E-9,331.0E-6
11.11E-9,329.7E-6
11.17E-9,328.6E-6
11.30E-9,326.3E-6
11.54E-9,321.5E-6
12.03E-9,310.4E-6
13.01E-9,272.2E-6
13.96E-9,196.3E-6
14.80E-9,126.3E-6
15.70E-9,70.62E-6
16.91E-9,28.42E-6
17.79E-9,14.73E-6
18.76E-9,6.571E-6
19.38E-9,4.356E-6
20.00E-9,2.409E-6
20.05E-9,4.890E-6
20.14E-9,4.442E-6
20.24E-9,3.446E-6
20.46E-9,-30.05E-6
20.75E-9,-135.5E-6
21.00E-9,-241.7E-6
21.05E-9,-242.1E-6
21.12E-9,-241.9E-6
21.19E-9,-241.8E-6
21.31E-9,-241.5E-6
21.57E-9,-240.9E-6
22.09E-9,-239.4E-6
23.12E-9,-234.6E-6
24.02E-9,-221.3E-6
24.85E-9,-181.4E-6
25.77E-9,-118.9E-6
26.60E-9,-68.94E-6
27.58E-9,-32.31E-6
28.58E-9,-12.94E-6
29.29E-9,-7.305E-6
30.00E-9,-3.458E-6
30.05E-9,-4.690E-6
30.14E-9,-4.215E-6
30.26E-9,-3.198E-6
30.49E-9,41.70E-6
30.77E-9,183.8E-6
31.00E-9,329.7E-6
31.04E-9,331.0E-6
31.11E-9,329.7E-6
31.18E-9,328.6E-6
31.30E-9,326.3E-6
31.54E-9,321.4E-6
32.03E-9,310.3E-6
33.02E-9,271.7E-6
33.97E-9,195.9E-6
34.80E-9,125.8E-6
35.71E-9,70.28E-6
36.90E-9,28.50E-6
37.79E-9,14.76E-6
38.76E-9,6.593E-6
39.38E-9,4.365E-6
40.00E-9,2.413E-6
40.05E-9,4.893E-6
40.14E-9,4.444E-6
40.24E-9,3.442E-6
40.46E-9,-30.19E-6
40.75E-9,-135.7E-6
41.00E-9,-241.7E-6
41.05E-9,-242.1E-6
41.12E-9,-241.9E-6
41.19E-9,-241.8E-6
41.31E-9,-241.5E-6
41.57E-9,-240.9E-6
42.09E-9,-239.4E-6
43.12E-9,-234.6E-6
44.02E-9,-221.3E-6
44.85E-9,-181.5E-6
45.77E-9,-118.9E-6
46.60E-9,-69.00E-6
47.58E-9,-32.29E-6
48.58E-9,-12.93E-6
49.29E-9,-7.302E-6
50.00E-9,-3.456E-6
50.05E-9,-4.690E-6
50.14E-9,-4.215E-6
50.26E-9,-3.200E-6
50.49E-9,41.65E-6
50.77E-9,183.7E-6
51.00E-9,329.7E-6
51.04E-9,331.0E-6
51.11E-9,329.7E-6
51.18E-9,328.6E-6
51.30E-9,326.3E-6
51.54E-9,321.4E-6
52.03E-9,310.3E-6
53.02E-9,271.7E-6
53.97E-9,195.9E-6
54.80E-9,125.8E-6
55.71E-9,70.26E-6
56.90E-9,28.50E-6
57.79E-9,14.77E-6
58.76E-9,6.594E-6
59.38E-9,4.365E-6
60.00E-9,2.413E-6
60.05E-9,4.893E-6
60.14E-9,4.444E-6
60.24E-9,3.442E-6
60.46E-9,-30.19E-6
