time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.360E-6
65.57E-12,2.212E-6
118.9E-12,1.988E-6
225.4E-12,1.464E-6
438.6E-12,-24.37E-6
641.1E-12,-89.62E-6
828.8E-12,-168.7E-6
1.000E-9,-236.9E-6
1.027E-9,-238.3E-6
1.081E-9,-237.8E-6
1.130E-9,-237.2E-6
1.229E-9,-236.0E-6
1.426E-9,-232.2E-6
1.821E-9,-197.2E-6
2.112E-9,-130.9E-6
2.377E-9,-74.61E-6
2.660E-9,-34.31E-6
2.981E-9,-13.15E-6
3.253E-9,-5.088E-6
3.560E-9,-2.270E-6
3.931E-9,-228.2E-9
4.452E-9,-368.9E-9
5.196E-9,309.6E-9
6.381E-9,-304.3E-9
8.594E-9,303.9E-9
11.00E-9,-303.7E-9
11.10E-9,-1.093E-6
11.23E-9,-1.026E-6
11.48E-9,34.46E-6
11.68E-9,131.3E-6
11.86E-9,233.2E-6
12.00E-9,314.2E-6
12.02E-9,314.3E-6
12.07E-9,310.2E-6
12.12E-9,306.4E-6
12.21E-9,297.3E-6
12.39E-9,268.7E-6
12.62E-9,206.0E-6
12.83E-9,140.8E-6
13.10E-9,80.42E-6
13.35E-9,43.30E-6
13.61E-9,22.27E-6
13.87E-9,10.89E-6
14.16E-9,5.019E-6
14.52E-9,1.631E-6
14.97E-9,571.5E-9
15.58E-9,-86.15E-9
16.44E-9,129.4E-9
17.80E-9,-132.6E-9
20.00E-9,133.0E-9
20.13E-9,2.004E-6
20.28E-9,-125.9E-9
20.52E-9,-46.66E-6
20.72E-9,-123.3E-6
20.86E-9,-181.1E-6
21.00E-9,-237.0E-6
21.02E-9,-238.3E-6
21.07E-9,-237.8E-6
21.12E-9,-237.4E-6
21.21E-9,-236.3E-6
21.38E-9,-233.2E-6
21.73E-9,-210.8E-6
22.05E-9,-144.3E-6
22.31E-9,-86.04E-6
22.58E-9,-42.92E-6
22.85E-9,-19.74E-6
23.12E-9,-8.308E-6
23.41E-9,-3.396E-6
23.75E-9,-947.8E-9
24.20E-9,-271.1E-9
24.82E-9,75.64E-9
25.76E-9,-81.05E-9
27.36E-9,82.97E-9
29.18E-9,-83.50E-9
31.00E-9,83.75E-9
31.08E-9,-1.114E-6
31.20E-9,-1.082E-6
31.41E-9,17.49E-6
31.65E-9,110.0E-6
31.82E-9,210.8E-6
31.91E-9,263.6E-6
32.00E-9,314.2E-6
32.02E-9,314.7E-6
32.06E-9,311.7E-6
32.09E-9,308.8E-6
32.16E-9,302.4E-6
32.30E-9,285.4E-6
32.56E-9,224.8E-6
32.77E-9,160.0E-6
33.02E-9,96.65E-6
33.24E-9,56.47E-6
33.51E-9,28.42E-6
33.77E-9,14.52E-6
34.05E-9,6.737E-6
34.38E-9,2.649E-6
34.79E-9,806.1E-9
35.33E-9,103.8E-9
36.08E-9,25.52E-9
37.20E-9,-26.46E-9
38.60E-9,26.00E-9
40.00E-9,-25.89E-9
40.07E-9,2.193E-6
40.18E-9,1.787E-6
40.36E-9,-8.385E-6
40.62E-9,-80.51E-6
40.80E-9,-158.4E-6
40.90E-9,-197.4E-6
41.00E-9,-237.7E-6
41.02E-9,-238.3E-6
41.06E-9,-238.0E-6
41.10E-9,-237.6E-6
41.17E-9,-236.8E-6
