time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.533E-6
65.57E-12,2.483E-6
118.9E-12,2.413E-6
225.4E-12,2.056E-6
438.5E-12,-26.35E-6
727.1E-12,-127.8E-6
863.5E-12,-185.1E-6
1.000E-9,-240.4E-6
1.024E-9,-242.0E-6
1.073E-9,-241.9E-6
1.116E-9,-241.8E-6
1.203E-9,-241.6E-6
1.376E-9,-241.2E-6
1.722E-9,-240.2E-6
2.415E-9,-237.7E-6
3.799E-9,-221.4E-6
4.687E-9,-173.7E-6
5.643E-9,-103.4E-6
6.440E-9,-57.59E-6
7.224E-9,-28.88E-6
8.131E-9,-12.52E-6
8.815E-9,-6.115E-6
9.500E-9,-3.506E-6
9.553E-9,-4.265E-6
9.640E-9,-3.840E-6
9.754E-9,-2.980E-6
9.981E-9,38.58E-6
10.25E-9,176.2E-6
10.38E-9,252.1E-6
10.50E-9,329.2E-6
10.52E-9,330.8E-6
10.57E-9,330.0E-6
10.61E-9,329.2E-6
10.69E-9,327.6E-6
10.85E-9,324.2E-6
11.18E-9,316.9E-6
11.83E-9,297.9E-6
12.91E-9,227.5E-6
13.68E-9,154.2E-6
14.50E-9,91.07E-6
15.33E-9,48.92E-6
16.18E-9,24.82E-6
17.01E-9,12.23E-6
17.94E-9,5.764E-6
19.05E-9,1.949E-6
20.00E-9,1.089E-6
20.06E-9,3.317E-6
20.16E-9,3.055E-6
20.30E-9,-330.5E-9
20.58E-9,-68.31E-6
20.79E-9,-153.0E-6
21.00E-9,-241.2E-6
21.03E-9,-242.0E-6
21.09E-9,-241.9E-6
21.14E-9,-241.7E-6
21.26E-9,-241.5E-6
21.48E-9,-240.9E-6
21.93E-9,-239.6E-6
22.82E-9,-235.5E-6
23.72E-9,-223.2E-6
24.50E-9,-185.3E-6
25.39E-9,-120.4E-6
26.16E-9,-71.11E-6
27.39E-9,-23.11E-6
28.32E-9,-9.642E-6
28.91E-9,-5.209E-6
29.50E-9,-3.213E-6
29.55E-9,-4.089E-6
29.63E-9,-3.702E-6
29.74E-9,-3.140E-6
29.94E-9,26.69E-6
30.23E-9,163.2E-6
30.37E-9,245.5E-6
30.50E-9,329.2E-6
30.52E-9,330.8E-6
30.57E-9,329.9E-6
30.62E-9,329.1E-6
30.70E-9,327.4E-6
30.87E-9,323.8E-6
31.21E-9,316.1E-6
31.90E-9,295.3E-6
32.95E-9,223.6E-6
33.72E-9,150.8E-6
34.54E-9,88.77E-6
35.31E-9,49.90E-6
36.16E-9,25.29E-6
36.98E-9,12.66E-6
37.92E-9,5.812E-6
39.01E-9,2.105E-6
40.00E-9,999.4E-9
40.06E-9,3.313E-6
40.16E-9,3.048E-6
40.30E-9,-777.3E-9
40.59E-9,-72.33E-6
40.79E-9,-155.4E-6
