time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.149E-6
65.57E-12,1.896E-6
118.9E-12,1.527E-6
225.4E-12,914.3E-9
438.6E-12,-21.86E-6
607.5E-12,-72.32E-6
760.4E-12,-138.8E-6
899.6E-12,-192.8E-6
1.000E-9,-231.9E-6
1.021E-9,-231.9E-6
1.064E-9,-230.1E-6
1.100E-9,-227.9E-6
1.173E-9,-219.9E-6
1.318E-9,-173.8E-6
1.431E-9,-121.5E-6
1.560E-9,-69.16E-6
1.746E-9,-23.69E-6
1.891E-9,-9.885E-6
2.036E-9,-3.770E-6
2.191E-9,-1.509E-6
2.402E-9,-216.2E-9
2.692E-9,-105.9E-9
3.127E-9,92.07E-9
3.826E-9,-88.65E-9
5.224E-9,88.18E-9
8.020E-9,-88.02E-9
11.00E-9,87.89E-9
11.11E-9,-873.0E-9
11.24E-9,-576.7E-9
11.39E-9,11.90E-6
11.52E-9,47.77E-6
11.66E-9,116.0E-6
11.78E-9,185.4E-6
11.89E-9,241.6E-6
12.00E-9,285.8E-6
12.03E-9,278.6E-6
12.07E-9,261.1E-6
12.11E-9,241.6E-6
12.19E-9,196.6E-6
12.30E-9,133.5E-6
12.50E-9,53.33E-6
12.64E-9,25.85E-6
12.78E-9,12.56E-6
12.91E-9,6.094E-6
13.08E-9,2.364E-6
13.30E-9,671.1E-9
13.58E-9,98.64E-9
13.98E-9,-3.813E-9
14.58E-9,1.597E-9
15.65E-9,-1.652E-9
17.80E-9,1.640E-9
20.00E-9,-1.631E-9
20.09E-9,1.775E-6
20.22E-9,1.029E-6
20.46E-9,-25.14E-6
20.63E-9,-83.02E-6
20.79E-9,-149.2E-6
20.89E-9,-190.3E-6
21.00E-9,-231.9E-6
21.02E-9,-231.8E-6
21.06E-9,-230.0E-6
21.10E-9,-227.7E-6
21.18E-9,-219.2E-6
21.32E-9,-172.5E-6
21.43E-9,-120.1E-6
21.56E-9,-68.14E-6
21.76E-9,-22.02E-6
21.90E-9,-9.226E-6
22.05E-9,-3.474E-6
22.20E-9,-1.419E-6
22.42E-9,-131.7E-9
22.72E-9,-141.2E-9
23.16E-9,133.5E-9
23.90E-9,-130.9E-9
25.36E-9,130.5E-9
28.29E-9,-130.4E-9
31.00E-9,130.3E-9
31.10E-9,-883.7E-9
31.24E-9,-643.5E-9
31.39E-9,11.59E-6
31.52E-9,47.77E-6
31.67E-9,117.0E-6
31.79E-9,186.3E-6
31.89E-9,242.0E-6
32.00E-9,285.8E-6
32.03E-9,278.5E-6
32.07E-9,261.2E-6
32.11E-9,241.8E-6
32.19E-9,196.8E-6
32.30E-9,133.8E-6
32.50E-9,53.80E-6
32.64E-9,26.06E-6
32.78E-9,12.67E-6
32.91E-9,6.150E-6
33.08E-9,2.394E-6
33.30E-9,682.0E-9
33.58E-9,102.1E-9
33.97E-9,-4.160E-9
34.57E-9,2.058E-9
35.64E-9,-2.141E-9
37.77E-9,2.134E-9
40.00E-9,-2.130E-9
40.09E-9,1.772E-6
40.22E-9,1.018E-6
40.46E-9,-25.92E-6
40.64E-9,-84.26E-6
40.79E-9,-150.3E-6
40.89E-9,-190.8E-6
41.00E-9,-231.9E-6
41.02E-9,-231.8E-6
41.06E-9,-230.0E-6
41.10E-9,-227.8E-6
41.17E-9,-219.4E-6
41.32E-9,-172.8E-6
41.43E-9,-120.5E-6
41.56E-9,-68.38E-6
41.75E-9,-22.45E-6
41.90E-9,-9.395E-6
42.04E-9,-3.550E-6
42.20E-9,-1.450E-6
42.41E-9,-139.4E-9
42.71E-9,-145.1E-9
43.15E-9,136.3E-9
43.88E-9,-133.5E-9
45.32E-9,133.2E-9
48.22E-9,-133.0E-9
51.00E-9,132.9E-9
51.10E-9,-881.0E-9
51.24E-9,-628.7E-9
51.39E-9,11.66E-6
51.52E-9,47.74E-6
51.66E-9,116.7E-6
51.79E-9,186.0E-6
51.89E-9,241.9E-6
52.00E-9,285.8E-6
52.03E-9,278.5E-6
52.07E-9,261.2E-6
52.11E-9,241.7E-6
52.19E-9,196.8E-6
52.30E-9,133.7E-6
52.50E-9,53.65E-6
52.64E-9,25.99E-6
52.78E-9,12.64E-6
52.91E-9,6.132E-6
53.08E-9,2.384E-6
53.30E-9,678.5E-9
53.58E-9,101.0E-9
53.97E-9,-4.050E-9
54.57E-9,1.910E-9
55.64E-9,-1.984E-9
57.78E-9,1.976E-9
60.00E-9,-1.970E-9
60.09E-9,1.773E-6
60.22E-9,1.021E-6
60.46E-9,-25.67E-6
60.63E-9,-83.86E-6
60.79E-9,-149.9E-6
60.89E-9,-190.7E-6
61.00E-9,-231.9E-6
61.02E-9,-231.8E-6
61.06E-9,-230.0E-6
61.10E-9,-227.8E-6
61.18E-9,-219.3E-6
61.32E-9,-172.7E-6
61.43E-9,-120.4E-6
61.56E-9,-68.30E-6
61.75E-9,-22.31E-6
61.90E-9,-9.342E-6
62.04E-9,-3.526E-6
62.20E-9,-1.440E-6
62.41E-9,-137.0E-9
62.71E-9,-143.8E-9
63.16E-9,135.4E-9
63.88E-9,-132.7E-9
65.34E-9,132.3E-9
68.24E-9,-132.2E-9
71.00E-9,132.1E-9
71.10E-9,-881.8E-9
71.24E-9,-633.5E-9
71.39E-9,11.63E-6
71.52E-9,47.75E-6
71.67E-9,116.8E-6
71.79E-9,186.1E-6
71.89E-9,241.9E-6
72.00E-9,285.8E-6
72.03E-9,278.5E-6
72.07E-9,261.2E-6
72.11E-9,241.7E-6
72.19E-9,196.8E-6
72.30E-9,133.8E-6
