time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.483E-6
65.57E-12,2.403E-6
118.9E-12,2.284E-6
225.4E-12,1.868E-6
438.5E-12,-25.78E-6
686.7E-12,-110.5E-6
843.4E-12,-176.1E-6
1.000E-9,-239.5E-6
1.026E-9,-241.0E-6
1.078E-9,-240.8E-6
1.125E-9,-240.6E-6
1.219E-9,-240.2E-6
1.406E-9,-239.3E-6
1.781E-9,-237.1E-6
2.531E-9,-224.3E-6
3.059E-9,-184.0E-6
3.646E-9,-114.4E-6
4.130E-9,-65.87E-6
4.910E-9,-20.18E-6
5.475E-9,-8.582E-6
6.058E-9,-3.004E-6
6.680E-9,-1.354E-6
7.561E-9,2.576E-9
8.779E-9,-224.8E-9
9.890E-9,217.3E-9
11.00E-9,-217.3E-9
11.07E-9,-1.261E-6
11.17E-9,-1.304E-6
11.32E-9,2.341E-6
11.53E-9,56.21E-6
11.75E-9,173.1E-6
11.87E-9,249.1E-6
12.00E-9,325.4E-6
12.02E-9,326.7E-6
12.07E-9,325.2E-6
12.11E-9,323.8E-6
12.19E-9,320.9E-6
12.36E-9,314.7E-6
12.69E-9,299.2E-6
13.34E-9,233.8E-6
13.80E-9,162.2E-6
14.30E-9,97.18E-6
14.98E-9,42.12E-6
15.50E-9,21.27E-6
16.04E-9,10.12E-6
16.60E-9,4.830E-6
17.32E-9,1.518E-6
18.23E-9,547.7E-9
19.12E-9,-36.88E-9
20.00E-9,167.1E-9
20.06E-9,2.440E-6
20.15E-9,2.243E-6
20.29E-9,-194.2E-9
20.55E-9,-59.17E-6
20.78E-9,-149.7E-6
21.00E-9,-240.3E-6
21.04E-9,-240.9E-6
21.11E-9,-240.7E-6
21.17E-9,-240.4E-6
21.29E-9,-239.9E-6
21.52E-9,-238.7E-6
22.00E-9,-235.2E-6
22.62E-9,-220.1E-6
23.13E-9,-176.0E-6
23.67E-9,-111.5E-6
24.15E-9,-63.95E-6
24.65E-9,-31.98E-6
25.22E-9,-13.60E-6
25.76E-9,-5.455E-6
26.38E-9,-2.213E-6
27.13E-9,-336.6E-9
28.16E-9,-259.3E-9
29.62E-9,202.3E-9
31.00E-9,-198.8E-9
31.07E-9,-1.252E-6
31.18E-9,-1.316E-6
31.35E-9,6.766E-6
31.54E-9,62.99E-6
31.77E-9,182.6E-6
31.88E-9,254.1E-6
32.00E-9,325.3E-6
32.02E-9,326.7E-6
32.07E-9,325.3E-6
32.11E-9,323.9E-6
32.19E-9,321.2E-6
32.34E-9,315.3E-6
32.66E-9,300.7E-6
33.29E-9,239.9E-6
33.77E-9,167.9E-6
34.26E-9,102.0E-6
34.89E-9,47.54E-6
35.43E-9,23.62E-6
35.95E-9,11.54E-6
36.51E-9,5.433E-6
37.20E-9,1.916E-6
38.08E-9,597.8E-9
39.04E-9,41.22E-9
40.00E-9,96.02E-9
40.06E-9,2.432E-6
40.16E-9,2.233E-6
40.30E-9,-1.061E-6
40.58E-9,-68.02E-6
40.80E-9,-159.8E-6
41.00E-9,-240.1E-6
41.03E-9,-241.0E-6
41.09E-9,-240.8E-6
41.14E-9,-240.5E-6
41.25E-9,-240.1E-6
41.46E-9,-239.1E-6
41.88E-9,-236.2E-6
42.74E-9,-213.7E-6
43.46E-9,-138.2E-6
44.00E-9,-77.93E-6
44.55E-9,-37.40E-6
45.30E-9,-11.28E-6
45.84E-9,-4.685E-6
46.46E-9,-1.715E-6
47.19E-9,-419.2E-9
48.28E-9,-88.63E-9
49.83E-9,52.26E-9
51.00E-9,-48.54E-9
51.07E-9,-1.259E-6
51.17E-9,-1.307E-6
51.33E-9,3.171E-6
51.53E-9,57.39E-6
51.75E-9,174.7E-6
51.88E-9,250.0E-6
52.00E-9,325.4E-6
52.02E-9,326.7E-6
52.07E-9,325.2E-6
52.11E-9,323.8E-6
52.19E-9,321.0E-6
52.36E-9,314.8E-6
52.68E-9,299.5E-6
53.33E-9,234.2E-6
53.80E-9,162.6E-6
54.30E-9,97.43E-6
54.97E-9,42.54E-6
55.50E-9,21.46E-6
56.03E-9,10.23E-6
56.60E-9,4.881E-6
57.31E-9,1.545E-6
58.22E-9,555.0E-9
59.11E-9,-34.33E-9
60.00E-9,165.3E-9
60.06E-9,2.440E-6
60.15E-9,2.243E-6
60.29E-9,-258.8E-9
60.55E-9,-59.88E-6
60.78E-9,-150.5E-6
61.00E-9,-240.3E-6
61.04E-9,-240.9E-6
61.11E-9,-240.7E-6
61.17E-9,-240.4E-6
61.29E-9,-239.9E-6
61.52E-9,-238.7E-6
61.99E-9,-235.2E-6
62.62E-9,-220.1E-6
63.13E-9,-175.8E-6
63.67E-9,-111.1E-6
64.15E-9,-63.67E-6
64.65E-9,-31.85E-6
65.22E-9,-13.56E-6
65.76E-9,-5.435E-6
66.38E-9,-2.206E-6
67.13E-9,-331.2E-9
68.16E-9,-260.5E-9
69.63E-9,204.2E-9
71.00E-9,-200.7E-9
71.07E-9,-1.253E-6
71.18E-9,-1.316E-6
71.35E-9,6.623E-6
71.54E-9,62.59E-6
71.77E-9,182.1E-6
71.88E-9,253.8E-6
72.00E-9,325.3E-6
72.02E-9,326.7E-6
72.07E-9,325.3E-6
72.11E-9,323.9E-6
72.19E-9,321.2E-6
72.34E-9,315.2E-6
72.66E-9,300.6E-6
73.30E-9,239.5E-6
73.77E-9,167.6E-6
74.26E-9,101.7E-6
74.89E-9,47.20E-6
75.43E-9,23.47E-6
75.96E-9,11.45E-6
76.52E-9,5.396E-6
77.21E-9,1.891E-6
78.09E-9,594.7E-9
79.04E-9,36.27E-9
80.00E-9,100.7E-9
80.06E-9,2.433E-6
80.16E-9,2.234E-6
80.30E-9,-1.006E-6
80.58E-9,-67.51E-6
80.80E-9,-159.2E-6
81.00E-9,-240.1E-6
81.03E-9,-241.0E-6
81.09E-9,-240.8E-6
81.14E-9,-240.5E-6
81.25E-9,-240.1E-6
81.46E-9,-239.1E-6
81.89E-9,-236.2E-6
82.74E-9,-213.2E-6
83.46E-9,-137.8E-6
84.01E-9,-77.57E-6
84.55E-9,-37.17E-6
85.30E-9,-11.36E-6
85.83E-9,-4.768E-6
86.46E-9,-1.698E-6
87.19E-9,-460.7E-9
88.27E-9,-52.31E-9
89.82E-9,14.83E-9
91.00E-9,-11.08E-9
91.07E-9,-1.259E-6
91.17E-9,-1.307E-6
91.33E-9,3.339E-6
91.53E-9,57.63E-6
91.75E-9,175.0E-6
91.88E-9,250.1E-6
92.00E-9,325.3E-6
92.02E-9,326.7E-6
92.07E-9,325.2E-6
92.11E-9,323.8E-6
92.19E-9,321.0E-6
92.35E-9,314.8E-6
92.68E-9,299.5E-6
93.33E-9,234.3E-6
93.80E-9,162.7E-6
94.30E-9,97.48E-6
94.97E-9,42.63E-6
95.50E-9,21.50E-6
96.03E-9,10.26E-6
96.59E-9,4.892E-6
97.31E-9,1.551E-6
98.22E-9,556.5E-9
99.11E-9,-33.80E-9
100.0E-9,164.9E-9
100.1E-9,2.439E-6
100.2E-9,2.242E-6
100.3E-9,-272.3E-9
100.6E-9,-60.03E-6
100.8E-9,-150.7E-6
101.0E-9,-240.3E-6
101.0E-9,-240.9E-6
101.1E-9,-240.7E-6
101.2E-9,-240.4E-6
101.3E-9,-239.9E-6
101.5E-9,-238.7E-6
102.0E-9,-235.2E-6
102.6E-9,-220.1E-6
103.1E-9,-175.7E-6
103.7E-9,-111.1E-6
104.2E-9,-63.61E-6
104.7E-9,-31.82E-6
105.2E-9,-13.55E-6
105.8E-9,-5.431E-6
106.4E-9,-2.204E-6
107.1E-9,-330.0E-9
108.2E-9,-260.8E-9
109.6E-9,204.6E-9
111.0E-9,-201.1E-9
111.1E-9,-1.253E-6
111.2E-9,-1.316E-6
111.4E-9,6.592E-6
111.5E-9,62.54E-6
111.8E-9,182.0E-6
111.9E-9,253.8E-6
112.0E-9,325.3E-6
112.0E-9,326.7E-6
112.1E-9,325.3E-6
112.1E-9,323.9E-6
112.2E-9,321.2E-6
112.3E-9,315.2E-6
112.7E-9,300.6E-6
113.3E-9,239.4E-6
113.8E-9,167.5E-6
114.3E-9,101.6E-6
114.9E-9,47.16E-6
115.4E-9,23.46E-6
116.0E-9,11.44E-6
116.5E-9,5.391E-6
117.2E-9,1.887E-6
118.1E-9,594.3E-9
119.0E-9,35.65E-9
120.0E-9,101.3E-9
120.1E-9,2.433E-6
120.2E-9,2.234E-6
120.3E-9,-999.5E-9
120.6E-9,-67.44E-6
120.8E-9,-159.1E-6
121.0E-9,-240.1E-6
121.0E-9,-241.0E-6
121.1E-9,-240.8E-6
121.1E-9,-240.5E-6
121.2E-9,-240.1E-6
121.5E-9,-239.1E-6
121.9E-9,-236.2E-6
122.7E-9,-213.2E-6
123.5E-9,-137.7E-6
124.0E-9,-77.52E-6
124.6E-9,-37.14E-6
125.3E-9,-11.37E-6
125.8E-9,-4.772E-6
126.5E-9,-1.701E-6
127.2E-9,-460.3E-9
128.3E-9,-53.27E-9
129.8E-9,15.68E-9
131.0E-9,-11.93E-9
131.1E-9,-1.258E-6
131.2E-9,-1.307E-6
131.3E-9,3.357E-6
131.5E-9,57.66E-6
131.8E-9,175.1E-6
131.9E-9,250.2E-6
132.0E-9,325.3E-6
132.0E-9,326.7E-6
132.1E-9,325.2E-6
132.1E-9,323.8E-6
132.2E-9,321.0E-6
132.4E-9,314.8E-6
132.7E-9,299.5E-6
133.3E-9,234.3E-6
133.8E-9,162.7E-6
134.3E-9,97.49E-6
135.0E-9,42.64E-6
135.5E-9,21.50E-6
136.0E-9,10.26E-6
136.6E-9,4.893E-6
137.3E-9,1.552E-6
138.2E-9,556.7E-9
139.1E-9,-33.74E-9
140.0E-9,164.9E-9
140.1E-9,2.439E-6
140.2E-9,2.242E-6
140.3E-9,-273.8E-9
140.6E-9,-60.04E-6
140.8E-9,-150.7E-6
141.0E-9,-240.3E-6
141.0E-9,-240.9E-6
141.1E-9,-240.7E-6
141.2E-9,-240.4E-6
141.3E-9,-239.9E-6
141.5E-9,-238.7E-6
