time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.526E-6
65.57E-12,2.472E-6
118.9E-12,2.395E-6
225.4E-12,2.030E-6
438.5E-12,-26.28E-6
719.9E-12,-124.7E-6
860.0E-12,-183.5E-6
1.000E-9,-240.3E-6
1.025E-9,-241.9E-6
1.074E-9,-241.8E-6
1.118E-9,-241.6E-6
1.206E-9,-241.4E-6
1.382E-9,-240.9E-6
1.733E-9,-239.9E-6
2.436E-9,-236.9E-6
3.842E-9,-210.1E-6
4.917E-9,-131.8E-6
5.754E-9,-71.92E-6
6.586E-9,-33.44E-6
7.609E-9,-11.41E-6
8.419E-9,-4.707E-6
9.000E-9,-2.652E-6
9.049E-9,-3.655E-6
9.133E-9,-3.317E-6
9.235E-9,-2.835E-6
9.441E-9,25.76E-6
9.723E-9,157.8E-6
9.862E-9,242.5E-6
10.00E-9,328.6E-6
10.02E-9,330.3E-6
10.07E-9,329.2E-6
10.12E-9,328.3E-6
10.20E-9,326.4E-6
10.38E-9,322.5E-6
10.73E-9,313.6E-6
11.43E-9,287.9E-6
12.33E-9,214.1E-6
13.04E-9,142.7E-6
13.79E-9,83.15E-6
14.43E-9,49.33E-6
15.21E-9,25.23E-6
15.96E-9,12.65E-6
16.84E-9,5.777E-6
17.85E-9,2.041E-6
18.93E-9,867.4E-9
20.00E-9,161.0E-9
20.06E-9,2.709E-6
20.16E-9,2.532E-6
20.31E-9,-2.392E-6
20.61E-9,-82.39E-6
20.81E-9,-161.2E-6
21.00E-9,-240.8E-6
21.03E-9,-241.9E-6
21.09E-9,-241.7E-6
21.14E-9,-241.6E-6
21.24E-9,-241.3E-6
21.46E-9,-240.7E-6
21.88E-9,-239.4E-6
22.73E-9,-235.0E-6
23.52E-9,-222.5E-6
24.23E-9,-184.0E-6
25.03E-9,-120.7E-6
25.74E-9,-70.39E-6
26.88E-9,-23.62E-6
27.73E-9,-9.272E-6
28.36E-9,-5.208E-6
29.00E-9,-2.205E-6
29.05E-9,-3.572E-6
29.14E-9,-3.244E-6
29.25E-9,-2.649E-6
29.46E-9,32.50E-6
29.74E-9,164.9E-6
29.87E-9,246.1E-6
30.00E-9,328.7E-6
30.02E-9,330.3E-6
30.07E-9,329.3E-6
30.11E-9,328.4E-6
30.20E-9,326.5E-6
30.37E-9,322.7E-6
30.71E-9,314.1E-6
31.39E-9,289.8E-6
32.31E-9,216.4E-6
33.01E-9,144.7E-6
33.77E-9,84.62E-6
34.41E-9,50.20E-6
35.19E-9,25.63E-6
35.95E-9,12.87E-6
36.82E-9,5.898E-6
37.83E-9,2.101E-6
39.11E-9,707.4E-9
40.00E-9,152.3E-9
40.06E-9,2.714E-6
40.15E-9,2.545E-6
40.29E-9,51.75E-9
40.55E-9,-60.46E-6
40.81E-9,-163.2E-6
41.00E-9,-241.1E-6
41.03E-9,-241.9E-6
