time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.408E-6
65.57E-12,2.285E-6
118.9E-12,2.100E-6
225.4E-12,1.612E-6
438.5E-12,-24.92E-6
654.4E-12,-95.89E-6
855.3E-12,-180.1E-6
1.000E-9,-237.9E-6
1.025E-9,-239.4E-6
1.075E-9,-239.1E-6
1.120E-9,-238.7E-6
1.210E-9,-238.0E-6
1.389E-9,-236.2E-6
1.747E-9,-228.5E-6
2.061E-9,-201.7E-6
2.441E-9,-134.0E-6
2.740E-9,-81.43E-6
3.115E-9,-36.36E-6
3.528E-9,-13.08E-6
3.872E-9,-5.368E-6
4.248E-9,-2.057E-6
4.706E-9,-508.8E-9
5.351E-9,-116.0E-9
6.275E-9,56.43E-9
7.738E-9,-54.55E-9
9.369E-9,55.03E-9
11.00E-9,-55.18E-9
11.08E-9,-1.173E-6
11.19E-9,-1.175E-6
11.39E-9,12.04E-6
11.56E-9,70.17E-6
11.76E-9,176.0E-6
11.88E-9,248.1E-6
12.00E-9,318.9E-6
12.02E-9,319.6E-6
12.07E-9,317.0E-6
12.11E-9,314.5E-6
12.19E-9,309.2E-6
12.35E-9,296.0E-6
12.67E-9,245.6E-6
12.96E-9,178.1E-6
13.25E-9,112.4E-6
13.63E-9,55.00E-6
13.98E-9,26.70E-6
14.31E-9,13.35E-6
14.65E-9,6.247E-6
15.07E-9,2.477E-6
15.59E-9,680.3E-9
16.28E-9,126.3E-9
17.24E-9,-17.53E-9
18.70E-9,15.25E-9
20.00E-9,-15.40E-9
20.07E-9,2.269E-6
20.18E-9,1.951E-6
20.34E-9,-6.468E-6
20.54E-9,-52.59E-6
20.74E-9,-132.0E-6
20.87E-9,-185.9E-6
21.00E-9,-238.0E-6
21.02E-9,-239.4E-6
21.07E-9,-239.1E-6
21.11E-9,-238.8E-6
21.20E-9,-238.1E-6
21.37E-9,-236.5E-6
21.70E-9,-230.1E-6
22.02E-9,-207.8E-6
22.41E-9,-139.5E-6
22.71E-9,-85.74E-6
23.07E-9,-40.20E-6
23.53E-9,-12.96E-6
23.87E-9,-5.250E-6
24.25E-9,-2.104E-6
24.69E-9,-442.0E-9
25.34E-9,-198.2E-9
26.26E-9,138.2E-9
27.73E-9,-136.5E-9
29.37E-9,137.1E-9
31.00E-9,-137.2E-9
31.08E-9,-1.173E-6
31.19E-9,-1.175E-6
31.39E-9,12.10E-6
31.57E-9,70.35E-6
31.76E-9,176.2E-6
