time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.549E-6
65.57E-12,2.508E-6
118.9E-12,2.453E-6
225.4E-12,2.117E-6
438.5E-12,-26.53E-6
746.7E-12,-136.0E-6
1.000E-9,-241.9E-6
1.046E-9,-242.3E-6
1.122E-9,-242.1E-6
1.186E-9,-242.0E-6
1.315E-9,-241.8E-6
1.574E-9,-241.2E-6
2.090E-9,-240.1E-6
3.124E-9,-236.6E-6
4.409E-9,-223.7E-6
5.406E-9,-184.4E-6
6.537E-9,-117.0E-6
7.490E-9,-68.20E-6
8.720E-9,-28.38E-6
9.335E-9,-18.38E-6
9.950E-9,-11.19E-6
10.00E-9,-11.80E-6
10.09E-9,-10.34E-6
10.19E-9,-8.422E-6
10.40E-9,27.12E-6
10.71E-9,178.7E-6
10.95E-9,330.2E-6
10.99E-9,331.4E-6
11.07E-9,330.3E-6
11.13E-9,329.3E-6
11.26E-9,327.3E-6
11.51E-9,323.0E-6
12.01E-9,313.4E-6
13.01E-9,284.3E-6
14.19E-9,208.9E-6
15.14E-9,137.5E-6
16.14E-9,79.32E-6
16.99E-9,47.05E-6
18.02E-9,24.12E-6
19.03E-9,12.04E-6
20.00E-9,6.372E-6
20.06E-9,8.203E-6
20.16E-9,7.212E-6
20.30E-9,2.622E-6
20.58E-9,-69.16E-6
20.79E-9,-154.0E-6
21.00E-9,-241.4E-6
21.03E-9,-242.2E-6
21.09E-9,-242.1E-6
21.14E-9,-242.0E-6
21.26E-9,-241.8E-6
21.48E-9,-241.4E-6
21.92E-9,-240.4E-6
22.82E-9,-237.8E-6
24.60E-9,-218.6E-6
26.18E-9,-138.7E-6
27.30E-9,-76.81E-6
28.40E-9,-36.51E-6
29.17E-9,-20.69E-6
29.95E-9,-11.53E-6
30.01E-9,-11.76E-6
30.10E-9,-10.21E-6
30.22E-9,-7.498E-6
30.46E-9,49.21E-6
30.75E-9,202.1E-6
30.95E-9,330.1E-6
30.98E-9,331.7E-6
31.04E-9,330.8E-6
31.09E-9,329.9E-6
31.20E-9,328.2E-6
31.42E-9,324.5E-6
31.86E-9,316.5E-6
32.73E-9,294.8E-6
34.03E-9,222.1E-6
34.98E-9,149.0E-6
35.98E-9,87.42E-6
36.90E-9,50.05E-6
37.95E-9,25.41E-6
38.96E-9,12.74E-6
40.00E-9,6.336E-6
40.06E-9,8.161E-6
40.16E-9,7.152E-6
40.31E-9,1.419E-6
40.60E-9,-78.68E-6
40.80E-9,-159.4E-6
41.00E-9,-241.3E-6
41.03E-9,-242.2E-6
41.09E-9,-242.1E-6
41.14E-9,-242.0E-6
41.25E-9,-241.8E-6
41.46E-9,-241.4E-6
41.89E-9,-240.5E-6
42.75E-9,-238.0E-6
44.47E-9,-221.9E-6
45.56E-9,-174.6E-6
46.75E-9,-103.7E-6
47.73E-9,-57.82E-6
48.84E-9,-25.75E-6
49.39E-9,-17.51E-6
49.95E-9,-11.07E-6
50.00E-9,-11.78E-6
50.08E-9,-10.36E-6
50.18E-9,-8.648E-6
50.38E-9,19.76E-6
50.70E-9,172.3E-6
50.95E-9,330.2E-6
50.99E-9,331.4E-6
51.07E-9,330.2E-6
51.13E-9,329.2E-6
51.26E-9,327.1E-6
51.52E-9,322.8E-6
52.03E-9,312.9E-6
53.06E-9,282.1E-6
54.22E-9,206.4E-6
55.17E-9,135.3E-6
56.18E-9,77.67E-6
57.08E-9,44.44E-6
58.11E-9,22.79E-6
59.13E-9,11.29E-6
60.00E-9,6.370E-6
60.06E-9,8.236E-6
60.15E-9,7.271E-6
60.28E-9,3.813E-6
60.55E-9,-58.07E-6
60.77E-9,-147.5E-6
61.00E-9,-241.6E-6
61.03E-9,-242.2E-6
61.09E-9,-242.1E-6
61.15E-9,-242.0E-6
61.27E-9,-241.8E-6
61.50E-9,-241.3E-6
61.96E-9,-240.3E-6
62.89E-9,-237.5E-6
64.75E-9,-214.1E-6
66.25E-9,-134.4E-6
67.37E-9,-73.53E-6
68.47E-9,-34.51E-6
69.21E-9,-20.23E-6
69.95E-9,-11.38E-6
70.00E-9,-11.79E-6
70.09E-9,-10.26E-6
70.21E-9,-7.768E-6
70.45E-9,43.77E-6
70.74E-9,196.0E-6
70.95E-9,330.1E-6
70.99E-9,331.5E-6
71.06E-9,330.4E-6
71.12E-9,329.5E-6
71.24E-9,327.6E-6
71.47E-9,323.6E-6
71.94E-9,314.9E-6
72.88E-9,289.8E-6
74.11E-9,215.5E-6
75.05E-9,143.4E-6
76.06E-9,83.57E-6
76.91E-9,49.58E-6
77.95E-9,25.32E-6
78.96E-9,12.70E-6
80.00E-9,6.357E-6
80.06E-9,8.164E-6
80.16E-9,7.155E-6
80.31E-9,1.450E-6
80.60E-9,-78.46E-6
80.80E-9,-159.3E-6
81.00E-9,-241.3E-6
81.03E-9,-242.2E-6
81.09E-9,-242.1E-6
81.14E-9,-242.0E-6
81.25E-9,-241.8E-6
81.46E-9,-241.4E-6
81.89E-9,-240.5E-6
82.75E-9,-238.0E-6
84.47E-9,-221.8E-6
85.57E-9,-174.4E-6
86.75E-9,-103.6E-6
87.73E-9,-57.70E-6
88.84E-9,-25.72E-6
89.40E-9,-17.51E-6
89.95E-9,-11.07E-6
90.00E-9,-11.78E-6
90.08E-9,-10.36E-6
90.18E-9,-8.653E-6
90.38E-9,19.66E-6
90.70E-9,172.2E-6
90.95E-9,330.2E-6
90.99E-9,331.4E-6
91.07E-9,330.2E-6
91.13E-9,329.2E-6
91.26E-9,327.1E-6
91.52E-9,322.8E-6
92.03E-9,312.9E-6
93.06E-9,282.0E-6
94.22E-9,206.4E-6
95.17E-9,135.3E-6
96.18E-9,77.65E-6
97.08E-9,44.41E-6
98.11E-9,22.78E-6
99.13E-9,11.28E-6
100.0E-9,6.369E-6
100.1E-9,8.236E-6
100.2E-9,7.271E-6
100.3E-9,3.825E-6
100.5E-9,-57.95E-6
100.8E-9,-147.4E-6
101.0E-9,-241.6E-6
101.0E-9,-242.2E-6
101.1E-9,-242.1E-6
101.1E-9,-242.0E-6
101.3E-9,-241.8E-6
101.5E-9,-241.3E-6
102.0E-9,-240.3E-6
102.9E-9,-237.5E-6
104.8E-9,-214.0E-6
106.3E-9,-134.3E-6
107.4E-9,-73.50E-6
108.5E-9,-34.48E-6
109.2E-9,-20.23E-6
110.0E-9,-11.38E-6
110.0E-9,-11.79E-6
110.1E-9,-10.26E-6
110.2E-9,-7.772E-6
110.5E-9,43.70E-6
110.7E-9,196.0E-6
111.0E-9,330.1E-6
111.0E-9,331.5E-6
111.1E-9,330.4E-6
111.1E-9,329.5E-6
111.2E-9,327.6E-6
111.5E-9,323.6E-6
111.9E-9,314.9E-6
112.9E-9,289.7E-6
114.1E-9,215.4E-6
115.1E-9,143.4E-6
116.1E-9,83.55E-6
116.9E-9,49.57E-6
118.0E-9,25.31E-6
119.0E-9,12.70E-6
120.0E-9,6.357E-6
120.1E-9,8.164E-6
120.2E-9,7.155E-6
120.3E-9,1.454E-6
120.6E-9,-78.43E-6
120.8E-9,-159.3E-6
121.0E-9,-241.3E-6
121.0E-9,-242.2E-6
121.1E-9,-242.1E-6
121.1E-9,-242.0E-6
121.2E-9,-241.8E-6
121.5E-9,-241.4E-6
121.9E-9,-240.5E-6
122.8E-9,-238.0E-6
124.5E-9,-221.8E-6
125.6E-9,-174.3E-6
126.8E-9,-103.6E-6
127.7E-9,-57.68E-6
128.8E-9,-25.71E-6
129.4E-9,-17.50E-6
130.0E-9,-11.07E-6
130.0E-9,-11.78E-6
130.1E-9,-10.36E-6
130.2E-9,-8.654E-6
130.4E-9,19.65E-6
130.7E-9,172.2E-6
131.0E-9,330.2E-6
131.0E-9,331.4E-6
131.1E-9,330.2E-6
131.1E-9,329.2E-6
131.3E-9,327.1E-6
131.5E-9,322.8E-6
132.0E-9,312.9E-6
133.1E-9,282.0E-6
134.2E-9,206.4E-6
135.2E-9,135.3E-6
136.2E-9,77.64E-6
137.1E-9,44.41E-6
138.1E-9,22.78E-6
139.1E-9,11.28E-6
140.0E-9,6.369E-6
140.1E-9,8.236E-6
140.2E-9,7.271E-6
140.3E-9,3.827E-6
140.5E-9,-57.93E-6
140.8E-9,-147.4E-6
141.0E-9,-241.6E-6
141.0E-9,-242.2E-6
141.1E-9,-242.1E-6
141.1E-9,-242.0E-6
141.3E-9,-241.8E-6
141.5E-9,-241.3E-6
142.0E-9,-240.3E-6
142.9E-9,-237.5E-6
144.8E-9,-214.0E-6
146.3E-9,-134.3E-6
147.4E-9,-73.49E-6
148.5E-9,-34.48E-6
149.2E-9,-20.22E-6
150.0E-9,-11.38E-6
150.0E-9,-11.79E-6
150.1E-9,-10.26E-6
150.2E-9,-7.772E-6
150.5E-9,43.69E-6
150.7E-9,196.0E-6
151.0E-9,330.1E-6
151.0E-9,331.5E-6
