time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.560E-6
65.57E-12,2.530E-6
118.9E-12,2.489E-6
225.4E-12,2.171E-6
438.5E-12,-26.68E-6
769.5E-12,-145.5E-6
1.000E-9,-242.1E-6
1.031E-9,-242.6E-6
1.092E-9,-242.5E-6
1.151E-9,-242.4E-6
1.269E-9,-242.2E-6
1.504E-9,-241.9E-6
1.974E-9,-241.1E-6
2.914E-9,-239.1E-6
4.794E-9,-230.7E-6
6.897E-9,-172.3E-6
7.948E-9,-121.8E-6
9.000E-9,-76.20E-6
9.064E-9,-70.70E-6
9.163E-9,-59.66E-6
9.311E-9,-40.23E-6
9.607E-9,84.04E-6
9.804E-9,205.0E-6
10.00E-9,327.3E-6
10.03E-9,329.1E-6
10.09E-9,328.4E-6
10.14E-9,327.7E-6
10.25E-9,326.2E-6
10.46E-9,323.3E-6
10.89E-9,317.0E-6
11.75E-9,301.2E-6
13.41E-9,234.8E-6
14.59E-9,162.0E-6
15.85E-9,96.62E-6
17.50E-9,42.21E-6
18.82E-9,21.23E-6
20.00E-9,11.03E-6
20.07E-9,12.64E-6
20.17E-9,10.97E-6
20.33E-9,1.817E-6
20.65E-9,-95.05E-6
20.82E-9,-168.6E-6
21.00E-9,-241.2E-6
21.03E-9,-242.5E-6
21.08E-9,-242.4E-6
21.13E-9,-242.3E-6
21.23E-9,-242.2E-6
21.43E-9,-241.9E-6
21.84E-9,-241.2E-6
22.64E-9,-239.6E-6
24.25E-9,-234.1E-6
25.53E-9,-218.4E-6
26.72E-9,-175.0E-6
28.00E-9,-113.3E-6
29.00E-9,-71.83E-6
29.06E-9,-66.83E-6
29.16E-9,-56.60E-6
29.30E-9,-39.32E-6
29.59E-9,73.87E-6
29.79E-9,199.6E-6
30.00E-9,327.6E-6
30.03E-9,329.4E-6
30.09E-9,328.6E-6
30.14E-9,327.9E-6
30.25E-9,326.5E-6
30.47E-9,323.5E-6
30.91E-9,317.0E-6
31.79E-9,300.7E-6
33.45E-9,233.6E-6
34.64E-9,160.8E-6
35.89E-9,95.74E-6
37.58E-9,41.05E-6
38.89E-9,20.70E-6
40.00E-9,11.17E-6
40.07E-9,12.80E-6
40.17E-9,11.14E-6
40.32E-9,3.230E-6
40.63E-9,-86.63E-6
40.81E-9,-164.1E-6
41.00E-9,-241.3E-6
41.03E-9,-242.5E-6
41.08E-9,-242.4E-6
41.14E-9,-242.3E-6
41.24E-9,-242.1E-6
41.45E-9,-241.8E-6
41.86E-9,-241.1E-6
42.70E-9,-239.5E-6
44.36E-9,-233.4E-6
45.64E-9,-215.6E-6
46.84E-9,-169.4E-6
48.10E-9,-108.7E-6
49.00E-9,-71.97E-6
49.06E-9,-67.18E-6
49.15E-9,-57.25E-6
49.29E-9,-41.80E-6
49.56E-9,55.38E-6
49.78E-9,189.5E-6
50.00E-9,327.6E-6
50.03E-9,329.4E-6
50.09E-9,328.6E-6
50.15E-9,327.9E-6
50.26E-9,326.4E-6
50.49E-9,323.2E-6
50.95E-9,316.4E-6
51.87E-9,298.8E-6
53.50E-9,230.5E-6
54.68E-9,158.0E-6
55.93E-9,93.85E-6
57.72E-9,37.77E-6
59.02E-9,19.16E-6
60.00E-9,11.10E-6
60.06E-9,12.81E-6
60.16E-9,11.21E-6
60.30E-9,5.452E-6
60.58E-9,-70.49E-6
60.79E-9,-155.3E-6
61.00E-9,-241.6E-6
61.03E-9,-242.5E-6
61.09E-9,-242.4E-6
61.14E-9,-242.3E-6
61.26E-9,-242.1E-6
61.48E-9,-241.8E-6
61.92E-9,-241.0E-6
62.81E-9,-239.2E-6
64.58E-9,-231.9E-6
65.86E-9,-209.2E-6
67.08E-9,-158.1E-6
68.04E-9,-111.5E-6
69.00E-9,-72.40E-6
69.06E-9,-67.14E-6
69.16E-9,-56.98E-6
69.30E-9,-40.34E-6
69.58E-9,67.18E-6
69.79E-9,196.0E-6
70.00E-9,327.6E-6
70.03E-9,329.4E-6
70.09E-9,328.6E-6
70.14E-9,327.9E-6
70.26E-9,326.4E-6
70.48E-9,323.4E-6
70.93E-9,316.8E-6
71.82E-9,300.0E-6
73.47E-9,232.5E-6
74.65E-9,159.8E-6
75.90E-9,95.06E-6
77.62E-9,39.91E-6
78.93E-9,20.17E-6
80.00E-9,11.15E-6
80.06E-9,12.80E-6
80.16E-9,11.16E-6
80.31E-9,4.013E-6
80.61E-9,-81.27E-6
80.81E-9,-161.2E-6
81.00E-9,-241.4E-6
81.03E-9,-242.5E-6
81.09E-9,-242.4E-6
81.14E-9,-242.3E-6
81.25E-9,-242.1E-6
81.46E-9,-241.8E-6
81.88E-9,-241.1E-6
82.73E-9,-239.4E-6
84.43E-9,-232.9E-6
85.71E-9,-213.6E-6
86.92E-9,-165.8E-6
87.96E-9,-115.3E-6
89.00E-9,-72.15E-6
89.06E-9,-66.76E-6
89.16E-9,-56.39E-6
89.31E-9,-38.16E-6
89.60E-9,82.51E-6
89.80E-9,204.1E-6
90.00E-9,327.6E-6
90.03E-9,329.4E-6
90.09E-9,328.7E-6
90.14E-9,328.0E-6
90.25E-9,326.5E-6
90.46E-9,323.6E-6
90.89E-9,317.3E-6
91.75E-9,301.5E-6
93.43E-9,235.1E-6
94.62E-9,162.1E-6
95.87E-9,96.60E-6
97.52E-9,42.40E-6
98.84E-9,21.33E-6
100.0E-9,11.19E-6
100.1E-9,12.79E-6
100.2E-9,11.10E-6
100.3E-9,2.234E-6
100.6E-9,-93.00E-6
100.8E-9,-167.5E-6
101.0E-9,-241.2E-6
101.0E-9,-242.5E-6
101.1E-9,-242.4E-6
101.1E-9,-242.3E-6
101.2E-9,-242.2E-6
101.4E-9,-241.8E-6
101.8E-9,-241.2E-6
102.7E-9,-239.6E-6
104.3E-9,-233.9E-6
105.6E-9,-217.7E-6
106.7E-9,-173.6E-6
108.0E-9,-112.2E-6
109.0E-9,-71.83E-6
109.1E-9,-66.89E-6
109.2E-9,-56.73E-6
109.3E-9,-39.91E-6
109.6E-9,69.50E-6
109.8E-9,197.3E-6
110.0E-9,327.6E-6
110.0E-9,329.4E-6
110.1E-9,328.6E-6
110.1E-9,327.9E-6
110.3E-9,326.5E-6
110.5E-9,323.4E-6
110.9E-9,316.9E-6
111.8E-9,300.3E-6
113.5E-9,232.9E-6
114.6E-9,160.2E-6
115.9E-9,95.30E-6
117.6E-9,40.33E-6
118.9E-9,20.37E-6
120.0E-9,11.16E-6
120.1E-9,12.81E-6
120.2E-9,11.16E-6
120.3E-9,3.745E-6
120.6E-9,-83.16E-6
120.8E-9,-162.2E-6
121.0E-9,-241.4E-6
121.0E-9,-242.5E-6
121.1E-9,-242.4E-6
121.1E-9,-242.3E-6
121.2E-9,-242.1E-6
121.5E-9,-241.8E-6
121.9E-9,-241.1E-6
122.7E-9,-239.4E-6
124.4E-9,-233.1E-6
125.7E-9,-214.3E-6
126.9E-9,-167.1E-6
128.1E-9,-106.7E-6
129.0E-9,-72.04E-6
129.1E-9,-67.35E-6
129.2E-9,-57.55E-6
129.3E-9,-42.82E-6
129.5E-9,47.49E-6
129.8E-9,185.0E-6
130.0E-9,327.6E-6
130.0E-9,329.4E-6
130.1E-9,328.6E-6
130.2E-9,327.8E-6
130.3E-9,326.3E-6
130.5E-9,323.1E-6
131.0E-9,316.1E-6
131.9E-9,298.0E-6
133.5E-9,229.1E-6
134.7E-9,156.8E-6
136.0E-9,93.03E-6
137.8E-9,36.18E-6
139.1E-9,18.40E-6
140.0E-9,11.05E-6
140.1E-9,12.79E-6
140.2E-9,11.23E-6
140.3E-9,6.407E-6
140.6E-9,-62.26E-6
140.8E-9,-150.6E-6
141.0E-9,-241.6E-6
141.0E-9,-242.5E-6
141.1E-9,-242.4E-6
