time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.464E-6
65.57E-12,2.374E-6
118.9E-12,2.238E-6
225.4E-12,1.804E-6
438.5E-12,-25.57E-6
676.9E-12,-106.1E-6
838.5E-12,-173.9E-6
1.000E-9,-239.1E-6
1.026E-9,-240.6E-6
1.079E-9,-240.4E-6
1.127E-9,-240.2E-6
1.222E-9,-239.7E-6
1.413E-9,-238.6E-6
1.795E-9,-235.5E-6
2.559E-9,-207.4E-6
3.148E-9,-133.6E-6
3.625E-9,-74.57E-6
4.108E-9,-35.11E-6
4.705E-9,-12.11E-6
5.178E-9,-4.978E-6
5.719E-9,-1.892E-6
6.365E-9,-412.6E-9
7.296E-9,-131.9E-9
8.626E-9,87.42E-9
9.813E-9,-83.83E-9
11.00E-9,83.94E-9
11.07E-9,-1.241E-6
11.17E-9,-1.274E-6
11.33E-9,3.437E-6
11.52E-9,52.45E-6
11.73E-9,163.3E-6
11.87E-9,243.6E-6
12.00E-9,323.8E-6
12.02E-9,325.0E-6
12.07E-9,323.2E-6
12.11E-9,321.5E-6
12.20E-9,318.0E-6
12.37E-9,310.1E-6
12.71E-9,288.1E-6
13.22E-9,219.2E-6
13.62E-9,149.8E-6
14.05E-9,88.67E-6
14.43E-9,52.62E-6
14.89E-9,26.76E-6
15.33E-9,13.53E-6
15.84E-9,6.239E-6
16.42E-9,2.298E-6
17.16E-9,760.2E-9
18.12E-9,11.22E-9
19.06E-9,109.6E-9
20.00E-9,-90.43E-9
20.06E-9,2.388E-6
20.16E-9,2.167E-6
20.29E-9,-862.6E-9
20.57E-9,-65.08E-6
20.79E-9,-153.0E-6
21.00E-9,-239.8E-6
21.04E-9,-240.5E-6
21.11E-9,-240.3E-6
21.16E-9,-240.0E-6
21.28E-9,-239.4E-6
21.51E-9,-237.9E-6
21.97E-9,-233.1E-6
22.42E-9,-217.7E-6
22.84E-9,-174.0E-6
23.28E-9,-113.6E-6
23.71E-9,-64.70E-6
24.14E-9,-33.16E-6
24.64E-9,-13.65E-6
25.11E-9,-6.008E-6
25.65E-9,-1.938E-6
26.30E-9,-726.1E-9
