time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.509E-6
65.57E-12,2.444E-6
118.9E-12,2.350E-6
225.4E-12,1.964E-6
438.5E-12,-26.08E-6
704.4E-12,-118.1E-6
852.2E-12,-180.1E-6
1.000E-9,-240.0E-6
1.025E-9,-241.5E-6
1.076E-9,-241.4E-6
1.121E-9,-241.2E-6
1.212E-9,-240.9E-6
1.393E-9,-240.3E-6
1.756E-9,-238.9E-6
2.481E-9,-233.9E-6
3.120E-9,-219.4E-6
3.716E-9,-177.5E-6
4.362E-9,-115.9E-6
4.962E-9,-66.57E-6
5.609E-9,-32.99E-6
6.323E-9,-13.42E-6
6.999E-9,-5.954E-6
7.765E-9,-1.856E-6
8.699E-9,-770.5E-9
9.974E-9,150.0E-9
11.00E-9,-230.7E-9
11.06E-9,-1.298E-6
11.16E-9,-1.360E-6
11.31E-9,1.282E-6
11.60E-9,88.33E-6
11.83E-9,221.1E-6
12.00E-9,327.2E-6
12.03E-9,328.8E-6
12.08E-9,327.4E-6
12.13E-9,326.1E-6
12.23E-9,323.4E-6
12.43E-9,317.7E-6
12.82E-9,303.9E-6
13.61E-9,247.4E-6
14.23E-9,173.7E-6
14.84E-9,106.5E-6
15.57E-9,52.88E-6
16.27E-9,25.67E-6
16.91E-9,12.81E-6
17.61E-9,5.961E-6
18.44E-9,2.284E-6
19.22E-9,963.9E-9
20.00E-9,371.8E-9
20.06E-9,2.811E-6
20.15E-9,2.592E-6
20.27E-9,1.022E-6
20.52E-9,-47.94E-6
20.76E-9,-143.2E-6
21.00E-9,-241.0E-6
21.04E-9,-241.5E-6
21.11E-9,-241.3E-6
21.18E-9,-241.1E-6
21.30E-9,-240.7E-6
21.55E-9,-239.8E-6
22.04E-9,-237.4E-6
23.02E-9,-223.3E-6
23.69E-9,-180.2E-6
24.43E-9,-110.2E-6
25.03E-9,-62.68E-6
25.69E-9,-29.61E-6
26.41E-9,-12.57E-6
27.09E-9,-4.943E-6
27.87E-9,-2.022E-6
28.83E-9,-255.7E-9
29.92E-9,-294.8E-9
31.00E-9,186.1E-9
31.06E-9,-1.300E-6
31.16E-9,-1.365E-6
31.32E-9,1.977E-6
31.62E-9,97.83E-6
31.84E-9,231.1E-6
32.00E-9,327.3E-6
32.03E-9,328.8E-6
32.08E-9,327.5E-6
32.12E-9,326.2E-6
32.22E-9,323.7E-6
32.40E-9,318.4E-6
32.78E-9,305.7E-6
33.52E-9,256.6E-6
34.15E-9,182.5E-6
34.76E-9,114.4E-6
35.45E-9,60.22E-6
36.18E-9,27.91E-6
36.82E-9,14.31E-6
37.51E-9,6.477E-6
38.31E-9,2.818E-6
39.15E-9,867.1E-9
40.00E-9,521.7E-9
40.06E-9,2.797E-6
40.15E-9,2.578E-6
40.28E-9,459.8E-9
40.54E-9,-55.35E-6
40.79E-9,-151.7E-6
41.00E-9,-240.9E-6
41.03E-9,-241.5E-6
41.09E-9,-241.3E-6
41.15E-9,-241.2E-6
41.26E-9,-240.8E-6
41.48E-9,-240.0E-6
41.93E-9,-238.0E-6
42.84E-9,-228.5E-6
43.48E-9,-197.4E-6
44.27E-9,-124.9E-6
44.87E-9,-73.62E-6
45.68E-9,-29.57E-6
46.44E-9,-11.62E-6
47.14E-9,-4.495E-6
47.90E-9,-1.871E-6
48.87E-9,-249.1E-9
49.93E-9,-261.9E-9
51.00E-9,156.9E-9
51.06E-9,-1.300E-6
51.16E-9,-1.364E-6
51.31E-9,1.746E-6
51.61E-9,94.87E-6
51.84E-9,227.8E-6
52.00E-9,327.3E-6
52.03E-9,328.8E-6
52.08E-9,327.4E-6
52.13E-9,326.2E-6
52.22E-9,323.6E-6
52.41E-9,318.2E-6
52.79E-9,305.1E-6
53.55E-9,253.7E-6
54.18E-9,179.7E-6
54.78E-9,111.8E-6
55.48E-9,57.94E-6
56.20E-9,27.25E-6
56.84E-9,13.93E-6
57.53E-9,6.294E-6
58.35E-9,2.706E-6
59.17E-9,853.7E-9
60.00E-9,521.2E-9
60.06E-9,2.801E-6
60.15E-9,2.582E-6
60.28E-9,626.7E-9
60.53E-9,-53.30E-6
60.78E-9,-149.3E-6
61.00E-9,-240.9E-6
61.04E-9,-241.5E-6
61.11E-9,-241.3E-6
61.17E-9,-241.1E-6
61.29E-9,-240.7E-6
61.53E-9,-239.8E-6
62.00E-9,-237.6E-6
62.95E-9,-225.5E-6
63.61E-9,-187.0E-6
64.36E-9,-116.1E-6
64.97E-9,-67.09E-6
65.90E-9,-22.14E-6
66.61E-9,-9.287E-6
67.33E-9,-3.352E-6
68.10E-9,-1.460E-6
69.17E-9,-58.32E-9
70.08E-9,-272.9E-9
71.00E-9,183.1E-9
71.06E-9,-1.306E-6
71.15E-9,-1.357E-6
71.29E-9,216.9E-9
71.56E-9,71.45E-6
71.80E-9,201.5E-6
72.00E-9,327.3E-6
72.04E-9,328.5E-6
72.11E-9,326.8E-6
72.16E-9,325.3E-6
72.27E-9,322.2E-6
72.50E-9,315.4E-6
72.95E-9,298.1E-6
73.77E-9,230.3E-6
74.36E-9,158.2E-6
74.98E-9,94.15E-6
75.87E-9,38.04E-6
76.53E-9,19.34E-6
77.20E-9,9.030E-6
77.91E-9,4.316E-6
78.84E-9,1.250E-6
80.00E-9,488.6E-9
80.07E-9,2.729E-6
80.17E-9,2.506E-6
80.33E-9,-3.842E-6
80.64E-9,-92.45E-6
80.82E-9,-166.9E-6
81.00E-9,-240.2E-6
81.03E-9,-241.5E-6
81.08E-9,-241.3E-6
81.13E-9,-241.2E-6
81.23E-9,-240.9E-6
81.44E-9,-240.2E-6
81.84E-9,-238.4E-6
82.65E-9,-231.7E-6
83.29E-9,-210.3E-6
84.16E-9,-135.9E-6
84.76E-9,-81.81E-6
85.49E-9,-37.22E-6
86.38E-9,-12.20E-6
87.06E-9,-4.937E-6
87.82E-9,-1.941E-6
88.73E-9,-402.2E-9
90.06E-9,-162.8E-9
91.00E-9,97.85E-9
91.06E-9,-1.300E-6
91.16E-9,-1.354E-6
91.30E-9,461.9E-9
91.57E-9,75.70E-6
91.80E-9,206.5E-6
92.00E-9,327.3E-6
92.04E-9,328.5E-6
92.10E-9,326.8E-6
92.16E-9,325.4E-6
92.27E-9,322.3E-6
92.49E-9,315.7E-6
92.93E-9,299.1E-6
93.75E-9,231.9E-6
94.34E-9,159.6E-6
94.97E-9,95.09E-6
95.84E-9,39.75E-6
96.49E-9,20.15E-6
97.16E-9,9.489E-6
97.87E-9,4.528E-6
98.78E-9,1.359E-6
99.39E-9,924.1E-9
100.0E-9,239.2E-9
100.1E-9,2.830E-6
100.1E-9,2.618E-6
100.2E-9,1.974E-6
100.5E-9,-29.32E-6
100.7E-9,-121.8E-6
100.9E-9,-182.0E-6
101.0E-9,-239.9E-6
101.0E-9,-241.5E-6
101.1E-9,-241.4E-6
101.1E-9,-241.2E-6
101.2E-9,-241.0E-6
101.4E-9,-240.3E-6
101.7E-9,-238.9E-6
102.5E-9,-234.2E-6
103.1E-9,-220.5E-6
103.7E-9,-179.8E-6
104.3E-9,-117.8E-6
104.9E-9,-68.11E-6
105.6E-9,-32.53E-6
106.3E-9,-13.11E-6
107.0E-9,-5.826E-6
107.8E-9,-1.783E-6
108.7E-9,-779.4E-9
110.0E-9,180.7E-9
111.0E-9,-257.4E-9
111.1E-9,-1.299E-6
111.2E-9,-1.358E-6
111.3E-9,985.1E-9
111.6E-9,84.03E-6
111.8E-9,216.2E-6
112.0E-9,327.2E-6
112.0E-9,328.5E-6
112.1E-9,326.9E-6
112.2E-9,325.5E-6
112.3E-9,322.6E-6
112.5E-9,316.4E-6
112.9E-9,300.9E-6
113.7E-9,234.9E-6
114.3E-9,162.3E-6
114.9E-9,96.92E-6
115.8E-9,42.74E-6
116.4E-9,21.53E-6
117.1E-9,10.28E-6
117.8E-9,4.896E-6
118.7E-9,1.553E-6
119.3E-9,961.0E-9
120.0E-9,251.7E-9
120.1E-9,2.827E-6
120.1E-9,2.613E-6
120.2E-9,1.789E-6
120.5E-9,-34.07E-6
120.7E-9,-127.2E-6
120.9E-9,-184.6E-6
121.0E-9,-239.9E-6
121.0E-9,-241.5E-6
121.1E-9,-241.4E-6
121.1E-9,-241.2E-6
121.2E-9,-241.0E-6
121.4E-9,-240.4E-6
121.7E-9,-239.0E-6
122.4E-9,-234.5E-6
123.1E-9,-221.5E-6
123.7E-9,-181.9E-6
124.3E-9,-119.3E-6
124.9E-9,-69.28E-6
125.9E-9,-21.76E-6
126.6E-9,-8.614E-6
127.3E-9,-3.682E-6
128.1E-9,-978.9E-9
129.2E-9,-497.4E-9
130.1E-9,182.7E-9
131.0E-9,-269.2E-9
131.1E-9,-1.306E-6
131.2E-9,-1.356E-6
131.3E-9,160.4E-9
131.6E-9,70.40E-6
131.8E-9,200.2E-6
132.0E-9,327.3E-6
132.0E-9,328.5E-6
132.1E-9,326.8E-6
132.2E-9,325.3E-6
132.3E-9,322.1E-6
132.5E-9,315.3E-6
133.0E-9,297.9E-6
133.8E-9,230.0E-6
134.4E-9,157.9E-6
135.0E-9,93.92E-6
135.9E-9,37.60E-6
136.5E-9,19.13E-6
137.2E-9,8.911E-6
137.9E-9,4.261E-6
138.9E-9,1.223E-6
140.0E-9,492.2E-9
140.1E-9,2.732E-6
140.2E-9,2.509E-6
140.3E-9,-3.589E-6
140.6E-9,-90.69E-6
140.8E-9,-165.9E-6
141.0E-9,-240.3E-6
141.0E-9,-241.5E-6
141.1E-9,-241.3E-6
141.1E-9,-241.2E-6
141.2E-9,-240.9E-6
141.4E-9,-240.1E-6
141.8E-9,-238.4E-6
142.7E-9,-231.5E-6
143.3E-9,-209.6E-6
144.2E-9,-135.3E-6
144.8E-9,-81.36E-6
145.5E-9,-36.85E-6
146.4E-9,-12.26E-6
147.1E-9,-4.974E-6
147.8E-9,-1.944E-6
148.7E-9,-413.6E-9
150.1E-9,-153.8E-9
151.0E-9,87.99E-9
151.1E-9,-1.300E-6
151.2E-9,-1.354E-6
151.3E-9,494.2E-9
151.6E-9,76.24E-6
151.8E-9,207.2E-6
152.0E-9,327.3E-6
152.0E-9,328.5E-6
152.1E-9,326.8E-6
152.2E-9,325.4E-6
152.3E-9,322.3E-6
152.5E-9,315.8E-6
152.9E-9,299.2E-6
153.8E-9,232.1E-6
154.3E-9,159.8E-6
155.0E-9,95.21E-6
155.8E-9,39.96E-6
156.5E-9,20.25E-6
157.2E-9,9.545E-6
157.9E-9,4.553E-6
158.8E-9,1.373E-6
159.4E-9,926.8E-9
160.0E-9,240.1E-9
160.1E-9,2.830E-6
160.1E-9,2.618E-6
160.2E-9,1.962E-6
160.5E-9,-29.66E-6
160.7E-9,-122.2E-6
160.9E-9,-182.2E-6
161.0E-9,-239.9E-6
161.0E-9,-241.5E-6
161.1E-9,-241.4E-6
161.1E-9,-241.2E-6
161.2E-9,-241.0E-6
161.4E-9,-240.4E-6
161.7E-9,-238.9E-6
162.5E-9,-234.2E-6
163.1E-9,-220.6E-6
163.7E-9,-180.0E-6
164.3E-9,-118.0E-6
164.9E-9,-68.27E-6
165.6E-9,-32.48E-6
166.3E-9,-13.08E-6
167.0E-9,-5.814E-6
167.8E-9,-1.776E-6
168.7E-9,-780.4E-9
170.0E-9,183.8E-9
171.0E-9,-260.1E-9
171.1E-9,-1.299E-6
171.2E-9,-1.358E-6
171.3E-9,956.5E-9
171.6E-9,83.60E-6
171.8E-9,215.7E-6
172.0E-9,327.2E-6
172.0E-9,328.5E-6
172.1E-9,326.9E-6
172.2E-9,325.5E-6
172.3E-9,322.6E-6
172.5E-9,316.3E-6
172.9E-9,300.8E-6
173.7E-9,234.8E-6
174.3E-9,162.1E-6
175.0E-9,96.83E-6
175.8E-9,42.60E-6
176.4E-9,21.46E-6
177.1E-9,10.25E-6
177.8E-9,4.878E-6
178.7E-9,1.544E-6
179.3E-9,959.3E-9
180.0E-9,251.1E-9
180.1E-9,2.827E-6
180.1E-9,2.613E-6
180.2E-9,1.798E-6
180.5E-9,-33.85E-6
180.7E-9,-126.9E-6
180.9E-9,-184.5E-6
181.0E-9,-239.9E-6
181.0E-9,-241.5E-6
181.1E-9,-241.4E-6
181.1E-9,-241.2E-6
181.2E-9,-241.0E-6
181.4E-9,-240.4E-6
181.7E-9,-239.0E-6
182.4E-9,-234.5E-6
183.1E-9,-221.5E-6
183.7E-9,-181.9E-6
184.3E-9,-119.3E-6
184.9E-9,-69.28E-6
185.9E-9,-21.73E-6
186.6E-9,-8.604E-6
187.3E-9,-3.674E-6
188.1E-9,-979.0E-9
189.2E-9,-494.7E-9
190.1E-9,180.7E-9
191.0E-9,-267.2E-9
191.1E-9,-1.306E-6
191.2E-9,-1.356E-6
191.3E-9,154.8E-9
191.6E-9,70.29E-6
191.8E-9,200.1E-6
192.0E-9,327.3E-6
192.0E-9,328.5E-6
192.1E-9,326.8E-6
192.2E-9,325.3E-6
192.3E-9,322.1E-6
192.5E-9,315.3E-6
193.0E-9,297.9E-6
193.8E-9,229.9E-6
194.4E-9,157.8E-6
195.0E-9,93.90E-6
195.9E-9,37.56E-6
196.5E-9,19.11E-6
197.2E-9,8.899E-6
197.9E-9,4.256E-6
198.9E-9,1.220E-6
200.0E-9,492.6E-9
