time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.554E-6
65.57E-12,2.520E-6
118.9E-12,2.473E-6
225.4E-12,2.147E-6
438.5E-12,-26.61E-6
758.5E-12,-140.9E-6
1.000E-9,-242.0E-6
1.031E-9,-242.4E-6
1.093E-9,-242.3E-6
1.154E-9,-242.2E-6
1.274E-9,-242.0E-6
1.516E-9,-241.6E-6
1.998E-9,-240.7E-6
2.964E-9,-238.3E-6
4.895E-9,-223.5E-6
6.113E-9,-179.1E-6
7.468E-9,-107.1E-6
8.359E-9,-67.96E-6
9.250E-9,-39.76E-6
9.309E-9,-37.67E-6
9.403E-9,-32.08E-6
9.537E-9,-22.97E-6
9.804E-9,60.79E-6
10.03E-9,190.0E-6
10.25E-9,329.2E-6
10.28E-9,330.9E-6
10.34E-9,330.0E-6
10.40E-9,329.2E-6
10.51E-9,327.5E-6
10.74E-9,324.1E-6
11.20E-9,316.6E-6
12.12E-9,296.7E-6
13.59E-9,225.6E-6
14.66E-9,152.7E-6
15.79E-9,90.02E-6
16.89E-9,49.46E-6
18.07E-9,25.12E-6
19.21E-9,12.43E-6
20.00E-9,8.031E-6
20.06E-9,9.758E-6
20.15E-9,8.649E-6
20.27E-9,5.776E-6
20.52E-9,-47.59E-6
20.76E-9,-141.2E-6
21.00E-9,-241.8E-6
21.03E-9,-242.4E-6
21.09E-9,-242.3E-6
21.15E-9,-242.2E-6
21.27E-9,-242.0E-6
21.52E-9,-241.6E-6
22.00E-9,-240.6E-6
22.96E-9,-238.2E-6
24.89E-9,-222.8E-6
26.11E-9,-177.0E-6
27.46E-9,-105.6E-6
28.35E-9,-66.63E-6
29.25E-9,-38.73E-6
29.31E-9,-36.73E-6
29.40E-9,-31.28E-6
29.54E-9,-22.30E-6
29.81E-9,61.91E-6
30.03E-9,190.6E-6
30.25E-9,329.2E-6
30.28E-9,330.9E-6
30.34E-9,330.1E-6
30.40E-9,329.3E-6
30.51E-9,327.6E-6
30.74E-9,324.2E-6
31.20E-9,316.7E-6
32.12E-9,296.9E-6
33.59E-9,225.9E-6
34.66E-9,152.9E-6
35.79E-9,90.17E-6
36.90E-9,49.36E-6
38.08E-9,25.06E-6
39.22E-9,12.39E-6
40.00E-9,8.049E-6
40.06E-9,9.778E-6
40.15E-9,8.670E-6
40.27E-9,5.865E-6
40.51E-9,-46.62E-6
40.76E-9,-140.6E-6
41.00E-9,-241.8E-6
41.03E-9,-242.4E-6
41.09E-9,-242.3E-6
41.15E-9,-242.2E-6
41.28E-9,-242.0E-6
41.52E-9,-241.6E-6
42.00E-9,-240.6E-6
42.97E-9,-238.2E-6
44.91E-9,-222.5E-6
46.13E-9,-176.2E-6
47.47E-9,-104.9E-6
48.36E-9,-66.40E-6
49.25E-9,-38.74E-6
49.31E-9,-36.75E-6
49.40E-9,-31.31E-6
49.54E-9,-22.41E-6
49.80E-9,60.78E-6
50.03E-9,189.9E-6
50.25E-9,329.2E-6
50.28E-9,330.9E-6
50.34E-9,330.1E-6
50.40E-9,329.3E-6
50.51E-9,327.6E-6
50.74E-9,324.2E-6
51.20E-9,316.6E-6
52.13E-9,296.7E-6
53.59E-9,225.7E-6
54.66E-9,152.7E-6
55.79E-9,90.03E-6
56.89E-9,49.42E-6
58.08E-9,25.10E-6
59.22E-9,12.42E-6
60.00E-9,8.050E-6
60.06E-9,9.777E-6
60.15E-9,8.669E-6
60.27E-9,5.841E-6
60.52E-9,-46.93E-6
60.76E-9,-140.8E-6
61.00E-9,-241.8E-6
61.03E-9,-242.4E-6
61.09E-9,-242.3E-6
61.15E-9,-242.2E-6
61.27E-9,-242.0E-6
61.52E-9,-241.6E-6
62.00E-9,-240.6E-6
62.97E-9,-238.2E-6
64.90E-9,-222.6E-6
66.13E-9,-176.4E-6
67.47E-9,-105.1E-6
68.36E-9,-66.47E-6
69.25E-9,-38.73E-6
69.31E-9,-36.75E-6
69.40E-9,-31.30E-6
69.54E-9,-22.37E-6
69.80E-9,61.14E-6
70.03E-9,190.1E-6
70.25E-9,329.2E-6
70.28E-9,330.9E-6
70.34E-9,330.1E-6
70.40E-9,329.3E-6
70.51E-9,327.6E-6
70.74E-9,324.2E-6
71.20E-9,316.6E-6
72.12E-9,296.8E-6
73.59E-9,225.8E-6
74.66E-9,152.8E-6
75.79E-9,90.08E-6
76.89E-9,49.40E-6
78.08E-9,25.09E-6
79.22E-9,12.41E-6
80.00E-9,8.050E-6
80.06E-9,9.777E-6
