time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.441E-6
65.57E-12,2.336E-6
118.9E-12,2.179E-6
225.4E-12,1.721E-6
438.5E-12,-25.30E-6
666.2E-12,-101.3E-6
833.1E-12,-171.4E-6
1.000E-9,-238.7E-6
1.027E-9,-240.1E-6
1.080E-9,-239.8E-6
1.129E-9,-239.5E-6
1.226E-9,-238.9E-6
1.421E-9,-237.5E-6
1.810E-9,-232.5E-6
2.188E-9,-216.4E-6
2.552E-9,-171.3E-6
2.929E-9,-111.6E-6
3.295E-9,-63.00E-6
3.662E-9,-32.39E-6
4.086E-9,-13.43E-6
4.491E-9,-5.869E-6
4.957E-9,-1.917E-6
5.521E-9,-674.1E-9
6.290E-9,65.24E-9
7.385E-9,-124.8E-9
9.127E-9,126.5E-9
11.00E-9,-126.1E-9
11.08E-9,-1.196E-6
11.20E-9,-1.236E-6
11.41E-9,18.44E-6
11.68E-9,128.9E-6
11.87E-9,244.6E-6
12.00E-9,321.7E-6
12.02E-9,322.7E-6
12.07E-9,320.4E-6
12.11E-9,318.4E-6
12.20E-9,314.1E-6
12.37E-9,304.2E-6
12.70E-9,271.6E-6
13.08E-9,202.6E-6
13.42E-9,134.9E-6
13.81E-9,76.84E-6
14.18E-9,41.13E-6
14.57E-9,21.23E-6
14.96E-9,10.27E-6
15.41E-9,4.704E-6
15.95E-9,1.445E-6
16.64E-9,543.5E-9
17.57E-9,-121.7E-9
18.89E-9,158.4E-9
20.00E-9,-163.5E-9
20.07E-9,2.336E-6
20.17E-9,2.074E-6
20.32E-9,-3.203E-6
20.52E-9,-48.49E-6
20.73E-9,-130.2E-6
20.87E-9,-185.4E-6
21.00E-9,-238.6E-6
21.02E-9,-240.1E-6
21.07E-9,-239.9E-6
21.11E-9,-239.6E-6
21.20E-9,-239.1E-6
21.37E-9,-237.9E-6
21.71E-9,-234.3E-6
22.17E-9,-218.0E-6
22.55E-9,-171.8E-6
22.95E-9,-108.9E-6
23.31E-9,-61.84E-6
23.68E-9,-31.09E-6
24.10E-9,-13.35E-6
24.51E-9,-5.329E-6
24.98E-9,-2.169E-6
25.55E-9,-301.9E-9
26.33E-9,-267.3E-9
27.44E-9,214.7E-9
29.22E-9,-212.9E-9
31.00E-9,213.3E-9
31.08E-9,-1.199E-6
31.20E-9,-1.237E-6
31.40E-9,16.02E-6
31.67E-9,127.0E-6
31.87E-9,242.2E-6
32.00E-9,321.6E-6
32.02E-9,322.6E-6
32.07E-9,320.4E-6
32.12E-9,318.3E-6
32.20E-9,314.0E-6
32.37E-9,303.8E-6
32.71E-9,269.9E-6
33.09E-9,200.9E-6
33.43E-9,133.2E-6
33.82E-9,75.42E-6
34.35E-9,29.71E-6
34.74E-9,15.39E-6
35.15E-9,6.929E-6
35.61E-9,3.218E-6
36.21E-9,746.3E-9
36.99E-9,340.7E-9
38.08E-9,-169.0E-9
