time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.518E-6
65.57E-12,2.459E-6
118.9E-12,2.375E-6
225.4E-12,2.000E-6
438.5E-12,-26.18E-6
712.4E-12,-121.5E-6
856.2E-12,-181.9E-6
1.000E-9,-240.1E-6
1.025E-9,-241.7E-6
1.075E-9,-241.6E-6
1.120E-9,-241.5E-6
1.209E-9,-241.2E-6
1.387E-9,-240.7E-6
1.744E-9,-239.4E-6
2.458E-9,-235.7E-6
3.273E-9,-222.8E-6
3.948E-9,-183.2E-6
4.704E-9,-117.8E-6
5.358E-9,-68.97E-6
6.447E-9,-20.87E-6
7.223E-9,-8.822E-6
8.024E-9,-3.132E-6
8.512E-9,-2.099E-6
9.000E-9,-880.0E-9
9.043E-9,-2.303E-6
9.120E-9,-2.165E-6
9.212E-9,-2.047E-6
9.396E-9,14.50E-6
9.702E-9,144.7E-6
9.851E-9,235.7E-6
10.00E-9,327.9E-6
10.03E-9,329.6E-6
10.08E-9,328.4E-6
10.12E-9,327.4E-6
10.21E-9,325.2E-6
10.39E-9,320.6E-6
10.76E-9,310.0E-6
11.49E-9,274.5E-6
12.24E-9,199.8E-6
12.89E-9,129.9E-6
13.59E-9,73.45E-6
14.28E-9,39.10E-6
14.98E-9,20.22E-6
15.70E-9,9.679E-6
16.53E-9,4.403E-6
17.54E-9,1.289E-6
18.83E-9,504.0E-9
20.00E-9,-77.54E-9
20.07E-9,2.533E-6
20.17E-9,2.370E-6
20.33E-9,-4.175E-6
20.65E-9,-94.24E-6
20.82E-9,-167.8E-6
21.00E-9,-240.4E-6
21.03E-9,-241.7E-6
21.08E-9,-241.6E-6
21.13E-9,-241.4E-6
21.23E-9,-241.1E-6
21.44E-9,-240.5E-6
21.84E-9,-239.1E-6
22.64E-9,-234.1E-6
23.35E-9,-220.0E-6
24.00E-9,-178.6E-6
24.72E-9,-116.7E-6
25.37E-9,-67.24E-6
26.10E-9,-32.79E-6
26.89E-9,-13.28E-6
27.63E-9,-5.901E-6
28.32E-9,-2.313E-6
29.00E-9,-1.369E-6
29.05E-9,-2.322E-6
29.14E-9,-2.185E-6
29.25E-9,-1.682E-6
29.48E-9,38.73E-6
29.74E-9,167.2E-6
29.87E-9,247.1E-6
30.00E-9,328.2E-6
30.02E-9,329.7E-6
30.07E-9,328.6E-6
30.11E-9,327.6E-6
30.20E-9,325.6E-6
30.37E-9,321.3E-6
30.70E-9,311.8E-6
31.38E-9,282.3E-6
32.17E-9,208.1E-6
32.81E-9,137.4E-6
33.51E-9,79.33E-6
34.11E-9,46.19E-6
34.82E-9,23.70E-6
35.52E-9,11.79E-6
36.33E-9,5.320E-6
37.28E-9,1.838E-6
38.50E-9,591.4E-9
40.00E-9,-16.96E-9
40.07E-9,2.505E-6
40.19E-9,2.321E-6
40.37E-9,-11.04E-6
40.71E-9,-121.0E-6
40.86E-9,-181.8E-6
41.00E-9,-240.0E-6
41.03E-9,-241.7E-6
41.08E-9,-241.6E-6
41.12E-9,-241.4E-6
41.21E-9,-241.2E-6
41.39E-9,-240.7E-6
41.75E-9,-239.4E-6
42.46E-9,-235.6E-6
43.27E-9,-222.7E-6
43.95E-9,-183.2E-6
44.70E-9,-117.9E-6
45.35E-9,-69.03E-6
46.44E-9,-20.88E-6
47.22E-9,-8.827E-6
48.02E-9,-3.135E-6
48.51E-9,-2.096E-6
49.00E-9,-876.0E-9
49.04E-9,-2.299E-6
49.12E-9,-2.162E-6
49.21E-9,-2.043E-6
49.40E-9,14.69E-6
49.70E-9,144.7E-6
49.85E-9,235.7E-6
50.00E-9,327.9E-6
50.03E-9,329.6E-6
50.08E-9,328.4E-6
50.12E-9,327.4E-6
50.21E-9,325.2E-6
50.39E-9,320.6E-6
50.76E-9,310.0E-6
51.49E-9,274.6E-6
52.24E-9,199.8E-6
52.89E-9,129.9E-6
53.59E-9,73.47E-6
54.28E-9,39.12E-6
54.98E-9,20.23E-6
55.70E-9,9.685E-6
56.53E-9,4.406E-6
57.53E-9,1.290E-6
58.83E-9,504.5E-9
60.00E-9,-77.58E-9
