time (s),/C0/PLUS (A)
0.000,0.000
37.05E-12,2.497E-6
65.57E-12,2.425E-6
118.9E-12,2.320E-6
225.4E-12,1.921E-6
438.5E-12,-25.94E-6
695.8E-12,-114.4E-6
847.9E-12,-178.2E-6
1.000E-9,-239.8E-6
1.026E-9,-241.3E-6
1.077E-9,-241.1E-6
1.123E-9,-241.0E-6
1.215E-9,-240.6E-6
1.400E-9,-239.9E-6
1.768E-9,-238.1E-6
2.506E-9,-230.8E-6
3.079E-9,-207.2E-6
3.831E-9,-133.8E-6
4.376E-9,-80.41E-6
5.043E-9,-35.99E-6
5.809E-9,-12.44E-6
6.423E-9,-5.074E-6
7.106E-9,-1.954E-6
7.930E-9,-445.6E-9
9.111E-9,-129.0E-9
10.06E-9,62.97E-9
11.00E-9,-76.26E-9
11.06E-9,-1.280E-6
11.16E-9,-1.325E-6
11.30E-9,485.3E-9
11.57E-9,75.44E-6
11.80E-9,201.3E-6
12.00E-9,326.5E-6
12.04E-9,327.4E-6
12.10E-9,325.5E-6
12.16E-9,323.8E-6
12.27E-9,320.3E-6
12.50E-9,312.5E-6
12.95E-9,291.0E-6
13.63E-9,220.9E-6
14.15E-9,150.3E-6
14.71E-9,88.81E-6
15.20E-9,52.65E-6
15.79E-9,26.73E-6
16.36E-9,13.51E-6
17.00E-9,6.228E-6
17.75E-9,2.289E-6
18.70E-9,758.7E-9
19.35E-9,202.8E-9
20.00E-9,223.2E-9
20.05E-9,2.573E-6
20.14E-9,2.389E-6
20.25E-9,1.597E-6
20.47E-9,-33.54E-6
20.72E-9,-123.1E-6
20.86E-9,-182.5E-6
21.00E-9,-239.7E-6
21.02E-9,-241.3E-6
21.07E-9,-241.1E-6
21.12E-9,-241.0E-6
21.21E-9,-240.7E-6
21.38E-9,-240.0E-6
21.74E-9,-238.3E-6
22.45E-9,-231.8E-6
23.02E-9,-211.4E-6
23.80E-9,-137.4E-6
24.35E-9,-83.02E-6
25.00E-9,-38.17E-6
25.82E-9,-12.10E-6
26.43E-9,-4.880E-6
27.12E-9,-1.942E-6
27.93E-9,-383.0E-9
29.13E-9,-181.7E-9
30.06E-9,119.8E-9
31.00E-9,-132.5E-9
31.06E-9,-1.280E-6
31.16E-9,-1.324E-6
31.29E-9,421.6E-9
31.57E-9,74.17E-6
31.79E-9,200.3E-6
32.00E-9,326.3E-6
32.04E-9,327.4E-6
32.10E-9,325.5E-6
32.16E-9,323.8E-6
32.27E-9,320.3E-6
32.50E-9,312.4E-6
