time (s),/vout (V)
0,1.8
3.71E-11,1.8
6.56E-11,1.8
1.19E-10,1.8
2.25E-10,1.801
4.39E-10,1.798
7.70E-10,1.769
1.00E-09,1.725
1.03E-09,1.717
1.09E-09,1.702
1.15E-09,1.688
1.27E-09,1.66
1.50E-09,1.603
1.97E-09,1.489
2.91E-09,1.264
4.79E-09,8.22E-01
6.90E-09,3.98E-01
7.95E-09,2.44E-01
9.00E-09,1.39E-01
9.06E-09,1.35E-01
9.16E-09,1.29E-01
9.31E-09,1.21E-01
9.61E-09,1.28E-01
9.80E-09,1.56E-01
1.00E-08,2.08E-01
1.00E-08,2.18E-01
1.01E-08,2.37E-01
1.01E-08,2.54E-01
1.03E-08,2.89E-01
1.05E-08,3.59E-01
1.09E-08,4.96E-01
1.18E-08,7.60E-01
1.34E-08,1.206
1.46E-08,1.441
1.59E-08,1.603
1.75E-08,1.718
1.88E-08,1.76
2.00E-08,1.779
2.01E-08,1.78
2.02E-08,1.781
2.03E-08,1.782
2.07E-08,1.767
2.08E-08,1.744
2.10E-08,1.708
2.10E-08,1.701
2.11E-08,1.688
2.11E-08,1.676
2.12E-08,1.651
2.14E-08,1.603
2.18E-08,1.506
2.26E-08,1.312
2.43E-08,9.32E-01
2.55E-08,6.41E-01
2.67E-08,4.08E-01
2.80E-08,2.22E-01
2.90E-08,1.30E-01
2.91E-08,1.26E-01
2.92E-08,1.20E-01
2.93E-08,1.13E-01
2.96E-08,1.18E-01
2.98E-08,1.46E-01
3.00E-08,2.01E-01
3.00E-08,2.10E-01
3.01E-08,2.29E-01
3.01E-08,2.47E-01
3.03E-08,2.83E-01
3.05E-08,3.55E-01
3.09E-08,4.96E-01
3.18E-08,7.67E-01
3.35E-08,1.211
3.46E-08,1.444
3.59E-08,1.605
3.76E-08,1.721
3.89E-08,1.761
4.00E-08,1.779
4.01E-08,1.78
4.02E-08,1.781
4.03E-08,1.782
4.06E-08,1.769
4.08E-08,1.746
4.10E-08,1.708
4.10E-08,1.701
4.11E-08,1.687
4.11E-08,1.675
4.12E-08,1.649
4.15E-08,1.599
4.19E-08,1.499
4.27E-08,1.299
4.44E-08,9.05E-01
4.56E-08,6.18E-01
4.68E-08,3.87E-01
4.81E-08,2.11E-01
4.90E-08,1.30E-01
4.91E-08,1.26E-01
4.92E-08,1.21E-01
4.93E-08,1.14E-01
4.96E-08,1.16E-01
4.98E-08,1.43E-01
5.00E-08,2.00E-01
5.00E-08,2.10E-01
5.01E-08,2.30E-01
5.02E-08,2.49E-01
5.03E-08,2.87E-01
5.05E-08,3.61E-01
5.10E-08,5.08E-01
5.19E-08,7.91E-01
5.35E-08,1.223
5.47E-08,1.452
5.59E-08,1.609
5.77E-08,1.727
5.90E-08,1.764
6.00E-08,1.779
6.01E-08,1.78
6.02E-08,1.781
6.03E-08,1.782
6.06E-08,1.773
6.08E-08,1.749
6.10E-08,1.708
6.10E-08,1.701
6.11E-08,1.686
6.11E-08,1.673
6.13E-08,1.646
6.15E-08,1.593
6.19E-08,1.486
6.28E-08,1.273
6.46E-08,8.55E-01
6.59E-08,5.72E-01
6.71E-08,3.48E-01
6.80E-08,2.19E-01
6.90E-08,1.31E-01
6.91E-08,1.27E-01
6.92E-08,1.21E-01
6.93E-08,1.14E-01
6.96E-08,1.18E-01
6.98E-08,1.45E-01
7.00E-08,2.01E-01
7.00E-08,2.11E-01
7.01E-08,2.30E-01
7.01E-08,2.48E-01
7.03E-08,2.85E-01
7.05E-08,3.57E-01
7.09E-08,5.00E-01
7.18E-08,7.76E-01
7.35E-08,1.215
7.47E-08,1.447
7.59E-08,1.607
7.76E-08,1.723
7.89E-08,1.762
8.00E-08,1.779
8.01E-08,1.78
8.02E-08,1.781
8.03E-08,1.782
8.06E-08,1.77
8.08E-08,1.747
8.10E-08,1.708
8.10E-08,1.701
8.11E-08,1.687
8.11E-08,1.674
8.13E-08,1.648
8.15E-08,1.597
8.19E-08,1.494
8.27E-08,1.29
8.44E-08,8.89E-01
8.57E-08,6.02E-01
8.69E-08,3.74E-01
8.80E-08,2.28E-01
8.90E-08,1.30E-01
8.91E-08,1.26E-01
8.92E-08,1.20E-01
8.93E-08,1.13E-01
8.96E-08,1.20E-01
8.98E-08,1.48E-01
9.00E-08,2.01E-01
9.00E-08,2.10E-01
9.01E-08,2.29E-01
9.01E-08,2.47E-01
9.03E-08,2.82E-01
9.05E-08,3.52E-01
9.09E-08,4.90E-01
9.18E-08,7.56E-01
9.34E-08,1.205
9.46E-08,1.441
9.59E-08,1.603
9.75E-08,1.718
9.88E-08,1.76
1.00E-07,1.779
1.00E-07,1.78
1.00E-07,1.781
1.00E-07,1.782
1.01E-07,1.768
1.01E-07,1.744
1.01E-07,1.708
1.01E-07,1.701
1.01E-07,1.688
1.01E-07,1.675
1.01E-07,1.651
1.01E-07,1.602
1.02E-07,1.504
1.03E-07,1.309
1.04E-07,9.25E-01
1.06E-07,6.35E-01
1.07E-07,4.03E-01
1.08E-07,2.20E-01
1.09E-07,1.30E-01
1.09E-07,1.26E-01
1.09E-07,1.20E-01
1.09E-07,1.13E-01
1.10E-07,1.18E-01
1.10E-07,1.45E-01
1.10E-07,2.00E-01
1.10E-07,2.10E-01
1.10E-07,2.30E-01
1.10E-07,2.48E-01
1.10E-07,2.84E-01
1.11E-07,3.56E-01
1.11E-07,4.98E-01
1.12E-07,7.73E-01
1.14E-07,1.214
1.15E-07,1.446
1.16E-07,1.606
1.18E-07,1.722
1.19E-07,1.762
1.20E-07,1.779
1.20E-07,1.78
1.20E-07,1.781
1.20E-07,1.782
1.21E-07,1.77
1.21E-07,1.746
1.21E-07,1.708
1.21E-07,1.701
1.21E-07,1.687
1.21E-07,1.674
1.21E-07,1.649
1.22E-07,1.598
1.22E-07,1.496
1.23E-07,1.293
1.24E-07,8.95E-01
1.26E-07,6.08E-01
1.27E-07,3.79E-01
1.28E-07,2.07E-01
1.29E-07,1.31E-01
1.29E-07,1.27E-01
1.29E-07,1.21E-01
1.29E-07,1.14E-01
1.30E-07,1.15E-01
1.30E-07,1.42E-01
1.30E-07,2.00E-01
1.30E-07,2.10E-01
1.30E-07,2.31E-01
1.30E-07,2.50E-01
1.30E-07,2.88E-01
1.31E-07,3.64E-01
1.31E-07,5.14E-01
1.32E-07,8.01E-01
1.34E-07,1.228
1.35E-07,1.455
1.36E-07,1.611
1.38E-07,1.73
1.39E-07,1.765
1.40E-07,1.779
1.40E-07,1.78
1.40E-07,1.781
1.40E-07,1.782
1.41E-07,1.774
1.41E-07,1.751
1.41E-07,1.708
1.41E-07,1.701
1.41E-07,1.686
1.41E-07,1.672
1.41E-07,1.645
1.42E-07,1.589
1.42E-07,1.479
1.43E-07,1.26
1.45E-07,8.31E-01
1.46E-07,5.50E-01
1.48E-07,2.65E-01
1.48E-07,1.89E-01
1.49E-07,1.32E-01
1.49E-07,1.28E-01
1.49E-07,1.23E-01
1.49E-07,1.17E-01
1.50E-07,1.13E-01
1.50E-07,1.37E-01
1.50E-07,2.02E-01
1.50E-07,2.17E-01
1.50E-07,2.41E-01
1.50E-07,2.63E-01
1.50E-07,3.06E-01
1.51E-07,3.91E-01
1.51E-07,5.59E-01
1.52E-07,8.77E-01
1.54E-07,1.264
1.55E-07,1.477
1.56E-07,1.624
1.57E-07,1.707
1.59E-07,1.754
1.59E-07,1.768
1.60E-07,1.778
1.60E-07,1.779
1.60E-07,1.78
1.60E-07,1.781
1.61E-07,1.778
1.61E-07,1.756
1.61E-07,1.708
1.61E-07,1.7
1.61E-07,1.684
1.61E-07,1.669
1.61E-07,1.639
1.62E-07,1.578
1.62E-07,1.457
1.63E-07,1.217
1.65E-07,7.49E-01
1.66E-07,4.74E-01
1.68E-07,2.33E-01
1.69E-07,1.31E-01
1.69E-07,1.27E-01
1.69E-07,1.21E-01
1.69E-07,1.14E-01
1.70E-07,1.21E-01
1.70E-07,1.50E-01
1.70E-07,2.01E-01
1.70E-07,2.11E-01
1.70E-07,2.30E-01
1.70E-07,2.47E-01
1.70E-07,2.82E-01
1.71E-07,3.50E-01
1.71E-07,4.86E-01
1.72E-07,7.48E-01
1.73E-07,1.201
1.75E-07,1.438
1.76E-07,1.602
1.78E-07,1.716
1.79E-07,1.759
1.80E-07,1.779
1.80E-07,1.78
1.80E-07,1.781
1.80E-07,1.782
1.81E-07,1.766
1.81E-07,1.743
1.81E-07,1.708
1.81E-07,1.701
1.81E-07,1.688
1.81E-07,1.676
1.81E-07,1.652
1.81E-07,1.603
1.82E-07,1.507
1.83E-07,1.316
1.84E-07,9.39E-01
1.86E-07,6.48E-01
1.87E-07,4.14E-01
1.88E-07,2.25E-01
1.89E-07,1.30E-01
1.89E-07,1.26E-01
1.89E-07,1.20E-01
1.89E-07,1.13E-01
1.90E-07,1.19E-01
1.90E-07,1.47E-01
1.90E-07,2.00E-01
1.90E-07,2.10E-01
1.90E-07,2.29E-01
1.90E-07,2.47E-01
1.90E-07,2.82E-01
1.91E-07,3.53E-01
1.91E-07,4.92E-01
1.92E-07,7.60E-01
1.93E-07,1.207
1.95E-07,1.442
1.96E-07,1.604
1.98E-07,1.719
1.99E-07,1.76
2.00E-07,1.779
