time (s),/vout (V)
1.66E-07,8.73E-05
1.68E-07,-6.67E-06
1.69E-07,-8.08E-07
1.71E-07,2.39E-07
1.71E-07,-3.20E-04
1.71E-07,-7.90E-04
1.71E-07,3.90E-03
1.72E-07,6.82E-02
1.72E-07,1.86E-01
1.72E-07,3.13E-01
1.72E-07,3.39E-01
1.72E-07,3.91E-01
1.72E-07,4.36E-01
1.72E-07,5.27E-01
1.72E-07,7.04E-01
1.73E-07,1.032
1.73E-07,1.325
1.73E-07,1.515
1.74E-07,1.65
1.74E-07,1.742
1.75E-07,1.771
1.75E-07,1.787
1.76E-07,1.794
1.76E-07,1.798
1.77E-07,1.8
1.78E-07,1.8
1.79E-07,1.8
1.80E-07,1.8
1.80E-07,1.8
1.80E-07,1.801
1.80E-07,1.801
1.81E-07,1.769
1.81E-07,1.693
1.81E-07,1.554
1.81E-07,1.522
1.81E-07,1.469
1.81E-07,1.423
1.81E-07,1.331
1.82E-07,1.147
1.82E-07,7.89E-01
1.82E-07,5.18E-01
1.83E-07,2.69E-01
1.83E-07,1.44E-01
1.84E-07,5.72E-02
1.84E-07,2.06E-02
1.85E-07,8.43E-03
1.85E-07,3.09E-03
1.86E-07,8.27E-04
1.86E-07,8.73E-05
1.88E-07,-6.67E-06
1.89E-07,-8.08E-07
1.91E-07,2.39E-07
1.91E-07,-3.20E-04
1.91E-07,-7.90E-04
1.91E-07,3.90E-03
1.92E-07,6.82E-02
1.92E-07,1.86E-01
1.92E-07,3.13E-01
1.92E-07,3.39E-01
1.92E-07,3.91E-01
1.92E-07,4.36E-01
1.92E-07,5.27E-01
1.92E-07,7.04E-01
1.93E-07,1.032
1.93E-07,1.325
1.93E-07,1.515
1.94E-07,1.65
1.94E-07,1.742
1.95E-07,1.771
1.95E-07,1.787
1.96E-07,1.794
1.96E-07,1.798
1.97E-07,1.8
1.98E-07,1.8
1.99E-07,1.8
2.00E-07,1.8
