time (s),/vout (V)
0,1.8
3.71E-11,1.8
6.56E-11,1.801
1.19E-10,1.801
2.25E-10,1.802
4.39E-10,1.793
6.66E-10,1.745
8.33E-10,1.669
1.00E-09,1.555
1.03E-09,1.534
1.08E-09,1.491
1.13E-09,1.452
1.23E-09,1.375
1.42E-09,1.22
1.81E-09,9.15E-01
2.19E-09,6.33E-01
2.55E-09,3.97E-01
2.93E-09,2.20E-01
3.30E-09,1.13E-01
3.66E-09,5.48E-02
4.09E-09,2.24E-02
4.49E-09,9.36E-03
4.96E-09,3.32E-03
5.52E-09,8.83E-04
6.29E-09,1.03E-04
7.39E-09,-6.14E-06
9.13E-09,-1.14E-06
1.10E-08,3.53E-07
1.11E-08,-3.30E-04
1.12E-08,-8.09E-04
1.14E-08,5.32E-03
1.17E-08,6.98E-02
1.19E-08,1.90E-01
1.20E-08,3.12E-01
1.20E-08,3.38E-01
1.21E-08,3.89E-01
1.21E-08,4.34E-01
1.22E-08,5.22E-01
1.24E-08,6.96E-01
1.27E-08,1.018
1.31E-08,1.317
1.34E-08,1.509
1.38E-08,1.646
1.42E-08,1.72
1.46E-08,1.76
1.50E-08,1.78
1.54E-08,1.791
1.60E-08,1.797
1.66E-08,1.799
1.76E-08,1.8
1.89E-08,1.8
2.00E-08,1.8
2.01E-08,1.801
2.02E-08,1.801
2.03E-08,1.801
2.05E-08,1.784
2.07E-08,1.72
2.09E-08,1.65
2.10E-08,1.556
2.10E-08,1.537
2.11E-08,1.499
2.11E-08,1.465
2.12E-08,1.397
2.14E-08,1.261
2.17E-08,9.93E-01
2.22E-08,6.48E-01
2.26E-08,3.99E-01
2.30E-08,2.14E-01
2.33E-08,1.10E-01
2.37E-08,5.31E-02
2.41E-08,2.17E-02
2.45E-08,9.03E-03
2.50E-08,3.18E-03
2.56E-08,8.30E-04
2.63E-08,9.14E-05
2.74E-08,-6.17E-06
2.92E-08,-9.08E-07
3.10E-08,2.73E-07
3.11E-08,-3.23E-04
3.12E-08,-7.96E-04
3.14E-08,4.30E-03
3.17E-08,6.86E-02
3.19E-08,1.87E-01
3.20E-08,3.13E-01
3.20E-08,3.38E-01
3.21E-08,3.90E-01
3.21E-08,4.36E-01
3.22E-08,5.26E-01
3.24E-08,7.02E-01
3.27E-08,1.028
3.31E-08,1.323
3.34E-08,1.514
3.38E-08,1.649
3.44E-08,1.742
3.47E-08,1.771
3.52E-08,1.787
3.56E-08,1.794
3.62E-08,1.798
3.70E-08,1.8
3.81E-08,1.8
3.90E-08,1.8
4.00E-08,1.8
4.01E-08,1.8
4.02E-08,1.801
4.03E-08,1.801
4.06E-08,1.769
4.08E-08,1.694
4.10E-08,1.554
4.10E-08,1.522
4.11E-08,1.469
4.12E-08,1.423
4.13E-08,1.33
4.15E-08,1.146
4.20E-08,7.87E-01
4.24E-08,5.16E-01
4.28E-08,2.68E-01
4.32E-08,1.43E-01
4.36E-08,5.68E-02
4.41E-08,2.06E-02
4.45E-08,8.40E-03
4.50E-08,3.07E-03
4.55E-08,8.20E-04
4.63E-08,8.61E-05
4.75E-08,-6.66E-06
4.93E-08,-7.79E-07
5.10E-08,2.29E-07
5.11E-08,-3.19E-04
5.12E-08,-7.88E-04
5.14E-08,3.79E-03
5.17E-08,6.82E-02
5.19E-08,1.86E-01
5.20E-08,3.13E-01
5.20E-08,3.39E-01
5.21E-08,3.91E-01
5.21E-08,4.37E-01
5.22E-08,5.27E-01
5.24E-08,7.04E-01
5.27E-08,1.033
5.31E-08,1.326
5.34E-08,1.516
5.38E-08,1.65
5.44E-08,1.742
5.47E-08,1.771
5.52E-08,1.786
5.56E-08,1.794
5.62E-08,1.798
5.70E-08,1.8
5.81E-08,1.8
5.90E-08,1.8
6.00E-08,1.8
6.01E-08,1.8
6.02E-08,1.801
6.03E-08,1.801
6.06E-08,1.769
6.08E-08,1.693
6.10E-08,1.554
6.10E-08,1.522
6.11E-08,1.469
6.12E-08,1.423
6.13E-08,1.331
6.15E-08,1.148
6.20E-08,7.89E-01
6.24E-08,5.18E-01
6.28E-08,2.69E-01
6.32E-08,1.44E-01
6.36E-08,5.73E-02
6.41E-08,2.06E-02
6.45E-08,8.44E-03
6.50E-08,3.09E-03
6.55E-08,8.28E-04
6.63E-08,8.76E-05
6.75E-08,-6.67E-06
6.93E-08,-8.15E-07
7.10E-08,2.41E-07
7.11E-08,-3.20E-04
7.12E-08,-7.90E-04
7.14E-08,3.92E-03
7.17E-08,6.83E-02
7.19E-08,1.86E-01
7.20E-08,3.13E-01
7.20E-08,3.39E-01
7.21E-08,3.91E-01
7.21E-08,4.36E-01
7.22E-08,5.27E-01
7.24E-08,7.04E-01
7.27E-08,1.032
7.31E-08,1.325
7.34E-08,1.515
7.38E-08,1.65
7.44E-08,1.742
7.47E-08,1.771
7.52E-08,1.787
7.56E-08,1.794
7.62E-08,1.798
7.70E-08,1.8
7.81E-08,1.8
7.90E-08,1.8
8.00E-08,1.8
8.01E-08,1.8
8.02E-08,1.801
8.03E-08,1.801
8.06E-08,1.769
8.08E-08,1.693
8.10E-08,1.554
8.10E-08,1.522
8.11E-08,1.469
8.12E-08,1.423
8.13E-08,1.331
8.15E-08,1.147
8.20E-08,7.88E-01
8.24E-08,5.18E-01
8.28E-08,2.69E-01
8.32E-08,1.44E-01
8.36E-08,5.72E-02
8.41E-08,2.06E-02
8.45E-08,8.43E-03
8.50E-08,3.09E-03
8.55E-08,8.27E-04
8.63E-08,8.73E-05
8.75E-08,-6.67E-06
8.93E-08,-8.07E-07
9.10E-08,2.38E-07
9.11E-08,-3.20E-04
9.12E-08,-7.90E-04
9.14E-08,3.89E-03
9.17E-08,6.82E-02
9.19E-08,1.86E-01
9.20E-08,3.13E-01
9.20E-08,3.39E-01
9.21E-08,3.91E-01
9.21E-08,4.36E-01
9.22E-08,5.27E-01
9.24E-08,7.04E-01
9.27E-08,1.032
9.31E-08,1.325
9.34E-08,1.515
9.38E-08,1.65
9.44E-08,1.742
9.47E-08,1.771
9.52E-08,1.787
9.56E-08,1.794
9.62E-08,1.798
9.70E-08,1.8
9.81E-08,1.8
9.90E-08,1.8
1.00E-07,1.8
1.00E-07,1.8
1.00E-07,1.801
1.00E-07,1.801
1.01E-07,1.769
1.01E-07,1.693
1.01E-07,1.554
1.01E-07,1.522
1.01E-07,1.469
1.01E-07,1.423
1.01E-07,1.331
1.02E-07,1.147
1.02E-07,7.89E-01
1.02E-07,5.18E-01
1.03E-07,2.69E-01
1.03E-07,1.44E-01
1.04E-07,5.72E-02
1.04E-07,2.06E-02
1.05E-07,8.43E-03
1.05E-07,3.09E-03
1.06E-07,8.27E-04
1.06E-07,8.74E-05
1.08E-07,-6.67E-06
1.09E-07,-8.09E-07
1.11E-07,2.39E-07
1.11E-07,-3.20E-04
1.11E-07,-7.90E-04
1.11E-07,3.90E-03
1.12E-07,6.82E-02
1.12E-07,1.86E-01
1.12E-07,3.13E-01
1.12E-07,3.39E-01
1.12E-07,3.91E-01
1.12E-07,4.36E-01
1.12E-07,5.27E-01
1.12E-07,7.04E-01
1.13E-07,1.032
1.13E-07,1.325
1.13E-07,1.515
1.14E-07,1.65
1.14E-07,1.742
1.15E-07,1.771
1.15E-07,1.787
1.16E-07,1.794
1.16E-07,1.798
1.17E-07,1.8
1.18E-07,1.8
1.19E-07,1.8
1.20E-07,1.8
1.20E-07,1.8
1.20E-07,1.801
1.20E-07,1.801
1.21E-07,1.769
1.21E-07,1.693
1.21E-07,1.554
1.21E-07,1.522
1.21E-07,1.469
1.21E-07,1.423
1.21E-07,1.331
1.22E-07,1.147
1.22E-07,7.89E-01
1.22E-07,5.18E-01
1.23E-07,2.69E-01
1.23E-07,1.44E-01
1.24E-07,5.72E-02
1.24E-07,2.06E-02
1.25E-07,8.43E-03
1.25E-07,3.09E-03
1.26E-07,8.27E-04
1.26E-07,8.73E-05
1.28E-07,-6.67E-06
1.29E-07,-8.08E-07
1.31E-07,2.39E-07
1.31E-07,-3.20E-04
1.31E-07,-7.90E-04
1.31E-07,3.90E-03
1.32E-07,6.82E-02
1.32E-07,1.86E-01
1.32E-07,3.13E-01
1.32E-07,3.39E-01
1.32E-07,3.91E-01
1.32E-07,4.36E-01
1.32E-07,5.27E-01
1.32E-07,7.04E-01
1.33E-07,1.032
1.33E-07,1.325
1.33E-07,1.515
1.34E-07,1.65
1.34E-07,1.742
1.35E-07,1.771
1.35E-07,1.787
1.36E-07,1.794
1.36E-07,1.798
1.37E-07,1.8
1.38E-07,1.8
1.39E-07,1.8
1.40E-07,1.8
1.40E-07,1.8
1.40E-07,1.801
1.40E-07,1.801
1.41E-07,1.769
1.41E-07,1.693
1.41E-07,1.554
1.41E-07,1.522
1.41E-07,1.469
1.41E-07,1.423
1.41E-07,1.331
1.42E-07,1.147
1.42E-07,7.89E-01
1.42E-07,5.18E-01
1.43E-07,2.69E-01
1.43E-07,1.44E-01
1.44E-07,5.72E-02
1.44E-07,2.06E-02
1.45E-07,8.43E-03
1.45E-07,3.09E-03
1.46E-07,8.27E-04
1.46E-07,8.73E-05
1.48E-07,-6.67E-06
1.49E-07,-8.08E-07
1.51E-07,2.39E-07
1.51E-07,-3.20E-04
1.51E-07,-7.90E-04
1.51E-07,3.90E-03
1.52E-07,6.82E-02
1.52E-07,1.86E-01
1.52E-07,3.13E-01
1.52E-07,3.39E-01
1.52E-07,3.91E-01
1.52E-07,4.36E-01
1.52E-07,5.27E-01
1.52E-07,7.04E-01
1.53E-07,1.032
1.53E-07,1.325
1.53E-07,1.515
1.54E-07,1.65
1.54E-07,1.742
1.55E-07,1.771
1.55E-07,1.787
1.56E-07,1.794
1.56E-07,1.798
1.57E-07,1.8
1.58E-07,1.8
1.59E-07,1.8
1.60E-07,1.8
1.60E-07,1.8
1.60E-07,1.801
1.60E-07,1.801
1.61E-07,1.769
1.61E-07,1.693
1.61E-07,1.554
1.61E-07,1.522
1.61E-07,1.469
1.61E-07,1.423
1.61E-07,1.331
1.62E-07,1.147
1.62E-07,7.89E-01
1.62E-07,5.18E-01
1.63E-07,2.69E-01
1.63E-07,1.44E-01
1.64E-07,5.72E-02
1.64E-07,2.06E-02
1.65E-07,8.43E-03
1.65E-07,3.09E-03
1.66E-07,8.27E-04
