time (s),/M0/D (A)
71.67E-9,6.132E-6
71.79E-9,1.303E-6
71.89E-9,1.401E-6
72.00E-9,1.419E-6
72.03E-9,1.258E-6
72.07E-9,1.141E-6
72.11E-9,1.058E-6
72.19E-9,823.4E-9
72.30E-9,562.9E-9
72.50E-9,206.2E-9
72.64E-9,116.4E-9
72.78E-9,39.37E-9
72.91E-9,36.16E-9
73.08E-9,-1.917E-9
73.30E-9,14.24E-9
73.58E-9,-11.09E-9
73.97E-9,11.49E-9
74.57E-9,-11.49E-9
75.64E-9,11.50E-9
77.78E-9,-11.49E-9
80.00E-9,11.50E-9
80.09E-9,-169.5E-9
80.22E-9,-33.71E-9
80.46E-9,34.92E-6
80.63E-9,94.20E-6
80.79E-9,153.5E-6
80.89E-9,195.5E-6
81.00E-9,236.1E-6
81.02E-9,235.8E-6
81.06E-9,233.9E-6
81.10E-9,231.6E-6
81.18E-9,222.9E-6
81.32E-9,175.2E-6
81.43E-9,122.3E-6
81.56E-9,69.29E-6
81.75E-9,22.78E-6
81.90E-9,9.415E-6
82.04E-9,3.674E-6
82.20E-9,1.331E-6
82.41E-9,248.0E-9
82.71E-9,24.05E-9
83.16E-9,-22.42E-9
83.88E-9,18.41E-9
85.33E-9,-18.02E-9
88.24E-9,17.91E-9
91.00E-9,-17.77E-9
91.10E-9,107.8E-9
91.24E-9,-280.2E-9
91.39E-9,2.811E-6
91.52E-9,9.545E-6
91.67E-9,6.136E-6
91.79E-9,1.303E-6
91.89E-9,1.401E-6
92.00E-9,1.419E-6
92.03E-9,1.258E-6
92.07E-9,1.141E-6
92.11E-9,1.058E-6
92.19E-9,823.4E-9
92.30E-9,562.8E-9
92.50E-9,206.1E-9
92.64E-9,116.4E-9
92.78E-9,39.36E-9
92.91E-9,36.16E-9
93.08E-9,-1.921E-9
93.30E-9,14.24E-9
93.58E-9,-11.09E-9
93.97E-9,11.50E-9
94.57E-9,-11.49E-9
95.64E-9,11.50E-9
97.78E-9,-11.49E-9
100.0E-9,11.50E-9
100.1E-9,-169.5E-9
100.2E-9,-34.02E-9
100.5E-9,34.90E-6
100.6E-9,94.17E-6
100.8E-9,153.4E-6
100.9E-9,195.5E-6
101.0E-9,236.1E-6
101.0E-9,235.8E-6
101.1E-9,233.9E-6
101.1E-9,231.6E-6
101.2E-9,222.9E-6
101.3E-9,175.2E-6
101.4E-9,122.3E-6
101.6E-9,69.29E-6
101.8E-9,22.77E-6
101.9E-9,9.410E-6
102.0E-9,3.672E-6
102.2E-9,1.330E-6
102.4E-9,247.7E-9
102.7E-9,23.97E-9
103.2E-9,-22.38E-9
103.9E-9,18.37E-9
105.3E-9,-17.98E-9
108.2E-9,17.88E-9
111.0E-9,-17.74E-9
111.1E-9,107.9E-9
111.2E-9,-280.2E-9
111.4E-9,2.811E-6
111.5E-9,9.545E-6
111.7E-9,6.135E-6
111.8E-9,1.303E-6
111.9E-9,1.401E-6
112.0E-9,1.419E-6
112.0E-9,1.258E-6
112.1E-9,1.141E-6
112.1E-9,1.058E-6
112.2E-9,823.4E-9
112.3E-9,562.9E-9
112.5E-9,206.1E-9
112.6E-9,116.4E-9
112.8E-9,39.36E-9
112.9E-9,36.16E-9
113.1E-9,-1.920E-9
113.3E-9,14.24E-9
113.6E-9,-11.09E-9
114.0E-9,11.49E-9
114.6E-9,-11.49E-9
115.6E-9,11.50E-9
117.8E-9,-11.49E-9
120.0E-9,11.50E-9
120.1E-9,-169.5E-9
120.2E-9,-33.92E-9
120.5E-9,34.90E-6
120.6E-9,94.18E-6
120.8E-9,153.4E-6
120.9E-9,195.5E-6
121.0E-9,236.1E-6
121.0E-9,235.8E-6
121.1E-9,233.9E-6
121.1E-9,231.6E-6
121.2E-9,222.9E-6
121.3E-9,175.2E-6
121.4E-9,122.3E-6
121.6E-9,69.29E-6
121.8E-9,22.77E-6
121.9E-9,9.412E-6
122.0E-9,3.673E-6
122.2E-9,1.331E-6
122.4E-9,247.8E-9
122.7E-9,24.00E-9
123.2E-9,-22.39E-9
123.9E-9,18.38E-9
125.3E-9,-17.99E-9
128.2E-9,17.89E-9
131.0E-9,-17.75E-9
131.1E-9,107.9E-9
131.2E-9,-280.2E-9
131.4E-9,2.811E-6
131.5E-9,9.545E-6
131.7E-9,6.135E-6
131.8E-9,1.303E-6
131.9E-9,1.401E-6
132.0E-9,1.419E-6
132.0E-9,1.258E-6
132.1E-9,1.141E-6
132.1E-9,1.058E-6
132.2E-9,823.4E-9
132.3E-9,562.9E-9
132.5E-9,206.1E-9
132.6E-9,116.4E-9
132.8E-9,39.36E-9
132.9E-9,36.16E-9
133.1E-9,-1.920E-9
133.3E-9,14.24E-9
133.6E-9,-11.09E-9
134.0E-9,11.50E-9
134.6E-9,-11.49E-9
135.6E-9,11.50E-9
137.8E-9,-11.49E-9
140.0E-9,11.50E-9
140.1E-9,-169.5E-9
140.2E-9,-33.95E-9
140.5E-9,34.90E-6
140.6E-9,94.18E-6
140.8E-9,153.4E-6
140.9E-9,195.5E-6
141.0E-9,236.1E-6
141.0E-9,235.8E-6
141.1E-9,233.9E-6
141.1E-9,231.6E-6
141.2E-9,222.9E-6
141.3E-9,175.2E-6
141.4E-9,122.3E-6
141.6E-9,69.29E-6
141.8E-9,22.77E-6
141.9E-9,9.411E-6
142.0E-9,3.673E-6
142.2E-9,1.331E-6
142.4E-9,247.8E-9
142.7E-9,23.99E-9
143.2E-9,-22.39E-9
143.9E-9,18.38E-9
145.3E-9,-17.99E-9
148.2E-9,17.88E-9
151.0E-9,-17.75E-9
151.1E-9,107.9E-9
151.2E-9,-280.2E-9
151.4E-9,2.811E-6
151.5E-9,9.545E-6
151.7E-9,6.135E-6
151.8E-9,1.303E-6
151.9E-9,1.401E-6
152.0E-9,1.419E-6
152.0E-9,1.258E-6
152.1E-9,1.141E-6
152.1E-9,1.058E-6
152.2E-9,823.4E-9
152.3E-9,562.9E-9
152.5E-9,206.1E-9
152.6E-9,116.4E-9
152.8E-9,39.36E-9
152.9E-9,36.16E-9
153.1E-9,-1.920E-9
153.3E-9,14.24E-9
153.6E-9,-11.09E-9
154.0E-9,11.49E-9
154.6E-9,-11.49E-9
155.6E-9,11.50E-9
157.8E-9,-11.49E-9
160.0E-9,11.50E-9
160.1E-9,-169.5E-9
160.2E-9,-33.94E-9
160.5E-9,34.90E-6
160.6E-9,94.18E-6
160.8E-9,153.4E-6
160.9E-9,195.5E-6
161.0E-9,236.1E-6
161.0E-9,235.8E-6
161.1E-9,233.9E-6
161.1E-9,231.6E-6
161.2E-9,222.9E-6
161.3E-9,175.2E-6
161.4E-9,122.3E-6
161.6E-9,69.29E-6
161.8E-9,22.77E-6
161.9E-9,9.411E-6
162.0E-9,3.673E-6
162.2E-9,1.331E-6
162.4E-9,247.8E-9
162.7E-9,23.99E-9
163.2E-9,-22.39E-9
163.9E-9,18.38E-9
165.3E-9,-17.99E-9
168.2E-9,17.89E-9
171.0E-9,-17.75E-9
171.1E-9,107.9E-9
171.2E-9,-280.2E-9
171.4E-9,2.811E-6
171.5E-9,9.545E-6
171.7E-9,6.135E-6
171.8E-9,1.303E-6
171.9E-9,1.401E-6
172.0E-9,1.419E-6
172.0E-9,1.258E-6
172.1E-9,1.141E-6
172.1E-9,1.058E-6
172.2E-9,823.4E-9
172.3E-9,562.9E-9
172.5E-9,206.1E-9
172.6E-9,116.4E-9
172.8E-9,39.36E-9
172.9E-9,36.16E-9
173.1E-9,-1.920E-9
173.3E-9,14.24E-9
173.6E-9,-11.09E-9
174.0E-9,11.49E-9
174.6E-9,-11.49E-9
175.6E-9,11.50E-9
177.8E-9,-11.49E-9
180.0E-9,11.50E-9
180.1E-9,-169.5E-9
180.2E-9,-33.95E-9
180.5E-9,34.90E-6
180.6E-9,94.18E-6
180.8E-9,153.4E-6
180.9E-9,195.5E-6
181.0E-9,236.1E-6
181.0E-9,235.8E-6
181.1E-9,233.9E-6
181.1E-9,231.6E-6
181.2E-9,222.9E-6
181.3E-9,175.2E-6
181.4E-9,122.3E-6
181.6E-9,69.29E-6
181.8E-9,22.77E-6
181.9E-9,9.411E-6
182.0E-9,3.673E-6
182.2E-9,1.331E-6
182.4E-9,247.8E-9
182.7E-9,23.99E-9
183.2E-9,-22.39E-9
183.9E-9,18.38E-9
185.3E-9,-17.99E-9
188.2E-9,17.89E-9
191.0E-9,-17.75E-9
191.1E-9,107.9E-9
191.2E-9,-280.2E-9
191.4E-9,2.811E-6
191.5E-9,9.545E-6
191.7E-9,6.135E-6
191.8E-9,1.303E-6
191.9E-9,1.401E-6
192.0E-9,1.419E-6
192.0E-9,1.258E-6
192.1E-9,1.141E-6
192.1E-9,1.058E-6
192.2E-9,823.4E-9
192.3E-9,562.9E-9
192.5E-9,206.1E-9
192.6E-9,116.4E-9
192.8E-9,39.36E-9
192.9E-9,36.16E-9
193.1E-9,-1.920E-9
193.3E-9,14.24E-9
193.6E-9,-11.09E-9
194.0E-9,11.49E-9
194.6E-9,-11.49E-9
195.6E-9,11.50E-9
197.8E-9,-11.49E-9
200.0E-9,11.50E-9
