time (s),/M0/D (A)
0.000,5.466E-12
37.05E-12,-163.4E-9
65.57E-12,-169.2E-9
118.9E-12,-194.2E-9
225.4E-12,33.55E-9
438.6E-12,29.57E-6
607.5E-12,84.19E-6
760.4E-12,142.3E-6
899.6E-12,197.6E-6
1.000E-9,236.1E-6
1.021E-9,235.9E-6
1.064E-9,233.9E-6
1.100E-9,231.7E-6
1.173E-9,223.5E-6
1.318E-9,176.3E-6
1.431E-9,123.4E-6
1.560E-9,70.14E-6
1.746E-9,24.15E-6
1.891E-9,9.951E-6
2.036E-9,3.914E-6
2.191E-9,1.445E-6
2.402E-9,278.9E-9
2.692E-9,34.04E-9
3.127E-9,-27.84E-9
3.826E-9,22.92E-9
5.224E-9,-22.45E-9
8.020E-9,22.31E-9
11.00E-9,-22.16E-9
11.11E-9,97.27E-9
11.24E-9,-270.8E-9
11.39E-9,2.779E-6
11.52E-9,9.515E-6
11.66E-9,6.258E-6
11.78E-9,1.306E-6
11.89E-9,1.402E-6
12.00E-9,1.417E-6
12.03E-9,1.258E-6
12.07E-9,1.141E-6
12.11E-9,1.058E-6
12.19E-9,822.5E-9
12.30E-9,562.0E-9
12.50E-9,204.6E-9
12.64E-9,115.8E-9
12.78E-9,38.98E-9
12.91E-9,36.03E-9
13.08E-9,-2.050E-9
13.30E-9,14.24E-9
13.58E-9,-11.14E-9
13.98E-9,11.54E-9
14.58E-9,-11.53E-9
15.65E-9,11.54E-9
17.80E-9,-11.53E-9
20.00E-9,11.54E-9
20.09E-9,-169.4E-9
20.22E-9,-41.99E-9
20.46E-9,34.15E-6
20.63E-9,93.41E-6
20.79E-9,152.6E-6
20.89E-9,195.1E-6
21.00E-9,236.1E-6
21.02E-9,235.8E-6
21.06E-9,233.9E-6
21.10E-9,231.5E-6
21.18E-9,222.7E-6
21.32E-9,175.0E-6
21.43E-9,122.0E-6
21.56E-9,69.10E-6
21.76E-9,22.45E-6
21.90E-9,9.281E-6
22.05E-9,3.615E-6
22.20E-9,1.307E-6
22.42E-9,241.0E-9
22.72E-9,22.09E-9
23.16E-9,-21.29E-9
23.90E-9,17.43E-9
25.36E-9,-17.04E-9
28.29E-9,16.94E-9
31.00E-9,-16.80E-9
31.10E-9,110.4E-9
31.24E-9,-281.6E-9
31.39E-9,2.824E-6
31.52E-9,9.557E-6
31.67E-9,6.097E-6
31.79E-9,1.302E-6
31.89E-9,1.400E-6
32.00E-9,1.420E-6
32.03E-9,1.258E-6
32.07E-9,1.141E-6
32.11E-9,1.058E-6
32.19E-9,823.7E-9
32.30E-9,563.1E-9
32.50E-9,206.6E-9
32.64E-9,116.6E-9
32.78E-9,39.49E-9
32.91E-9,36.20E-9
33.08E-9,-1.878E-9
33.30E-9,14.24E-9
33.58E-9,-11.08E-9
33.97E-9,11.48E-9
34.57E-9,-11.48E-9
35.64E-9,11.49E-9
37.77E-9,-11.48E-9
40.00E-9,11.49E-9
40.09E-9,-169.5E-9
40.22E-9,-31.26E-9
40.46E-9,35.15E-6
40.64E-9,94.43E-6
40.79E-9,153.7E-6
40.89E-9,195.6E-6
41.00E-9,236.1E-6
41.02E-9,235.8E-6
41.06E-9,233.9E-6
41.10E-9,231.6E-6
41.17E-9,222.9E-6
41.32E-9,175.3E-6
41.43E-9,122.4E-6
41.56E-9,69.35E-6
41.75E-9,22.88E-6
41.90E-9,9.453E-6
42.04E-9,3.691E-6
42.20E-9,1.338E-6
42.41E-9,250.0E-9
42.71E-9,24.62E-9
43.15E-9,-22.74E-9
43.88E-9,18.69E-9
45.32E-9,-18.30E-9
48.22E-9,18.19E-9
51.00E-9,-18.06E-9
51.10E-9,107.1E-9
51.24E-9,-279.7E-9
51.39E-9,2.808E-6
51.52E-9,9.542E-6
51.66E-9,6.146E-6
51.79E-9,1.303E-6
51.89E-9,1.401E-6
52.00E-9,1.419E-6
52.03E-9,1.258E-6
52.07E-9,1.141E-6
52.11E-9,1.058E-6
52.19E-9,823.3E-9
52.30E-9,562.8E-9
52.50E-9,206.0E-9
52.64E-9,116.3E-9
52.78E-9,39.32E-9
52.91E-9,36.15E-9
53.08E-9,-1.933E-9
53.30E-9,14.24E-9
53.58E-9,-11.10E-9
53.97E-9,11.50E-9
54.57E-9,-11.50E-9
55.64E-9,11.51E-9
57.78E-9,-11.50E-9
60.00E-9,11.51E-9
60.09E-9,-169.5E-9
60.22E-9,-34.73E-9
60.46E-9,34.83E-6
60.63E-9,94.10E-6
60.79E-9,153.4E-6
60.89E-9,195.5E-6
61.00E-9,236.1E-6
61.02E-9,235.8E-6
61.06E-9,233.9E-6
61.10E-9,231.6E-6
61.18E-9,222.8E-6
61.32E-9,175.2E-6
61.43E-9,122.3E-6
61.56E-9,69.27E-6
61.75E-9,22.74E-6
61.90E-9,9.399E-6
62.04E-9,3.667E-6
62.20E-9,1.328E-6
62.41E-9,247.1E-9
62.71E-9,23.81E-9
63.16E-9,-22.28E-9
63.88E-9,18.29E-9
65.34E-9,-17.90E-9
68.24E-9,17.79E-9
71.00E-9,-17.66E-9
71.10E-9,108.1E-9
71.24E-9,-280.4E-9
71.39E-9,2.812E-6
71.52E-9,9.546E-6
