time (s),/M0/D (A)
129.5E-9,17.26E-6
129.8E-9,637.4E-9
130.0E-9,263.2E-9
130.0E-9,172.8E-9
130.1E-9,170.9E-9
130.2E-9,170.1E-9
130.3E-9,167.0E-9
130.5E-9,162.7E-9
131.0E-9,153.1E-9
131.9E-9,136.7E-9
133.5E-9,97.25E-9
134.7E-9,66.18E-9
136.0E-9,37.13E-9
137.8E-9,15.46E-9
139.1E-9,6.572E-9
140.0E-9,5.290E-9
140.1E-9,-168.4E-9
140.2E-9,-205.9E-9
140.3E-9,2.506E-6
140.6E-9,68.38E-6
140.8E-9,152.4E-6
141.0E-9,242.5E-6
141.0E-9,242.9E-6
141.1E-9,242.8E-6
141.1E-9,242.8E-6
141.3E-9,242.6E-6
141.5E-9,242.2E-6
141.9E-9,241.4E-6
142.9E-9,239.5E-6
144.7E-9,231.4E-6
146.0E-9,205.9E-6
147.7E-9,129.8E-6
148.3E-9,99.27E-6
149.0E-9,72.96E-6
149.1E-9,67.99E-6
149.1E-9,58.60E-6
149.3E-9,46.65E-6
149.5E-9,24.06E-6
149.7E-9,1.215E-6
150.0E-9,220.1E-9
150.0E-9,172.5E-9
150.1E-9,170.0E-9
150.2E-9,169.3E-9
150.3E-9,165.7E-9
150.6E-9,161.1E-9
151.1E-9,150.4E-9
152.2E-9,131.8E-9
153.7E-9,92.79E-9
154.8E-9,62.36E-9
156.1E-9,34.83E-9
157.3E-9,20.14E-9
158.6E-9,9.056E-9
159.3E-9,7.526E-9
160.0E-9,3.958E-9
160.1E-9,-167.7E-9
160.1E-9,-201.8E-9
160.3E-9,642.8E-9
160.5E-9,42.87E-6
160.7E-9,136.8E-6
161.0E-9,242.5E-6
161.0E-9,242.9E-6
161.1E-9,242.8E-6
161.2E-9,242.7E-6
161.3E-9,242.5E-6
161.5E-9,242.1E-6
162.0E-9,241.3E-6
163.0E-9,239.1E-6
165.0E-9,227.6E-6
166.4E-9,191.1E-6
167.9E-9,117.6E-6
169.0E-9,72.54E-6
169.1E-9,66.31E-6
169.2E-9,55.58E-6
169.3E-9,39.70E-6
169.6E-9,10.02E-6
169.8E-9,395.0E-9
170.0E-9,328.2E-9
170.0E-9,172.7E-9
170.1E-9,170.9E-9
170.1E-9,170.2E-9
170.2E-9,167.5E-9
170.5E-9,163.5E-9
170.9E-9,154.8E-9
171.7E-9,139.9E-9
173.4E-9,100.4E-9
174.6E-9,69.02E-9
175.9E-9,38.73E-9
177.5E-9,18.55E-9
178.8E-9,7.745E-9
180.0E-9,5.520E-9
180.1E-9,-169.1E-9
180.2E-9,-204.2E-9
180.3E-9,6.969E-6
180.7E-9,101.9E-6
180.8E-9,171.0E-6
181.0E-9,242.5E-6
181.0E-9,242.9E-6
181.1E-9,242.9E-6
181.1E-9,242.8E-6
181.2E-9,242.6E-6
181.4E-9,242.3E-6
181.8E-9,241.7E-6
182.6E-9,240.1E-6
184.2E-9,234.6E-6
185.5E-9,219.4E-6
186.7E-9,176.6E-6
188.0E-9,114.5E-6
189.0E-9,72.06E-6
189.1E-9,66.03E-6
189.2E-9,55.53E-6
189.3E-9,40.21E-6
189.6E-9,11.65E-6
189.8E-9,433.3E-9
190.0E-9,312.8E-9
190.0E-9,172.8E-9
190.1E-9,171.0E-9
190.1E-9,170.3E-9
190.2E-9,167.4E-9
190.5E-9,163.4E-9
190.9E-9,154.4E-9
191.8E-9,139.2E-9
193.4E-9,99.70E-9
194.6E-9,68.37E-9
195.9E-9,38.36E-9
197.5E-9,17.92E-9
198.9E-9,7.519E-9
200.0E-9,5.484E-9
